close_id,fund_id,close_number,close_name,close_date,feeder_close_deadline,subscription_deadline,equalization_rate_pct,close_status
FUND-ABF-IX-FC1,FUND-ABF-IX,1,First Close,2021-06-30,2021-06-27,2021-06-25,0.0,Closed
FUND-ABF-IX-FC2,FUND-ABF-IX,2,Second / Final Close,2021-12-27,2021-12-24,2021-12-22,8.0,Closed
FUND-ABF-X-FC1,FUND-ABF-X,1,First Close,2023-06-30,2023-06-27,2023-06-25,0.0,Closed
FUND-ABF-X-FC2,FUND-ABF-X,2,Second / Final Close,2023-12-27,2023-12-24,2023-12-22,8.0,Closed
FUND-ACO-IV-FC1,FUND-ACO-IV,1,First Close,2021-06-30,2021-06-27,2021-06-25,0.0,Closed
FUND-ACO-IV-FC2,FUND-ACO-IV,2,Second / Final Close,2021-12-27,2021-12-24,2021-12-22,8.0,Closed
FUND-ACO-V-FC1,FUND-ACO-V,1,First Close,2023-06-30,2023-06-27,2023-06-25,0.0,Closed
FUND-ACO-V-FC2,FUND-ACO-V,2,Second / Final Close,2023-12-27,2023-12-24,2023-12-22,8.0,Closed
FUND-ARA-III-FC1,FUND-ARA-III,1,First Close,2020-06-30,2020-06-27,2020-06-25,0.0,Closed
FUND-ARA-III-FC2,FUND-ARA-III,2,Second / Final Close,2020-12-27,2020-12-24,2020-12-22,8.0,Closed
FUND-ARA-IV-FC1,FUND-ARA-IV,1,First Close,2022-06-30,2022-06-27,2022-06-25,0.0,Closed
FUND-ARA-IV-FC2,FUND-ARA-IV,2,Second / Final Close,2022-12-27,2022-12-24,2022-12-22,8.0,Closed
FUND-AIP-II-FC1,FUND-AIP-II,1,First Close,2021-06-30,2021-06-27,2021-06-25,0.0,Closed
FUND-AIP-II-FC2,FUND-AIP-II,2,Second / Final Close,2021-12-27,2021-12-24,2021-12-22,8.0,Closed
FUND-AIP-III-FC1,FUND-AIP-III,1,First Close,2023-06-30,2023-06-27,2023-06-25,0.0,Closed
FUND-AIP-III-FC2,FUND-AIP-III,2,Second / Final Close,2023-12-27,2023-12-24,2023-12-22,8.0,Closed
FUND-AGE-II-FC1,FUND-AGE-II,1,First Close,2022-06-30,2022-06-27,2022-06-25,0.0,Closed
FUND-AGE-II-FC2,FUND-AGE-II,2,Second / Final Close,2022-12-27,2022-12-24,2022-12-22,8.0,Closed
FUND-AGE-III-FC1,FUND-AGE-III,1,First Close,2024-06-30,2024-06-27,2024-06-25,0.0,Closed
FUND-AGE-III-FC2,FUND-AGE-III,2,Second / Final Close,2024-12-27,2024-12-24,2024-12-22,8.0,Open
