investor_id,investor_name,investor_type,jurisdiction,tax_status,aum_usdm,typical_pe_allocation_pct,contact_name,contact_email,kyc_status,erisa_plan,preferred_feeder,relationship_manager
INV-0001,Los Angeles Teachers' Pension Fund,Public Pension Fund,USA,US Tax-Exempt,114443.0,13.0,Contact Person 1,contact1@investor1.com,Approved,No,Domestic,J. Williams
INV-0002,Princeton College Investment Office,Endowment,USA,US Tax-Exempt,11550.0,9.5,Contact Person 2,contact2@investor2.com,Approved,No,Domestic,T. Osei
INV-0003,Gates Family Office,Family Office,Singapore,Taxable,9459.0,8.0,Contact Person 3,contact3@investor3.com,Approved,No,Offshore,M. Patel
INV-0004,California State Teachers' Retirement System,Public Pension Fund,USA,US Tax-Exempt,133946.0,17.7,Contact Person 4,contact4@investor4.com,Pending,No,Domestic,R. Chen
INV-0005,Johnson Investments Ltd,Family Office,Luxembourg,Taxable,7719.0,13.8,Contact Person 5,contact5@investor5.com,Approved,No,Offshore,S. Park
INV-0006,Penn College Investment Office,Endowment,USA,US Tax-Exempt,34720.0,17.0,Contact Person 6,contact6@investor6.com,Approved,No,Domestic,R. Chen
INV-0007,Canada National Wealth Fund,Sovereign Wealth Fund,Saudi Arabia,Foreign Government,707276.0,18.0,Contact Person 7,contact7@investor7.com,Pending,No,Offshore,S. Park
INV-0008,Temasek National Wealth Fund,Sovereign Wealth Fund,Singapore,Foreign Government,471026.0,6.7,Contact Person 8,contact8@investor8.com,Approved,No,Offshore,M. Patel
INV-0009,NYU University Endowment,Endowment,USA,US Tax-Exempt,6373.0,4.1,Contact Person 9,contact9@investor9.com,Pending,No,Domestic,M. Patel
INV-0010,AIG Employee Benefit Fund,Corporate Pension,USA,US Tax-Exempt,48612.0,18.0,Contact Person 10,contact10@investor10.com,Approved,No,Domestic,A. Mensah
INV-0011,New Zealand National Wealth Fund,Sovereign Wealth Fund,Temasek,Foreign Government,52434.0,18.5,Contact Person 11,contact11@investor11.com,Approved,No,Offshore,J. Williams
INV-0012,Princeton University Endowment,Endowment,USA,US Tax-Exempt,19322.0,3.3,Contact Person 12,contact12@investor12.com,Approved,No,Domestic,T. Osei
INV-0013,Wisconsin Public Employees' Retirement System,Public Pension Fund,USA,US Tax-Exempt,189655.0,16.0,Contact Person 13,contact13@investor13.com,Approved,No,Domestic,M. Patel
INV-0014,Atlanta Teachers' Pension Fund,Public Pension Fund,USA,US Tax-Exempt,123286.0,19.9,Contact Person 14,contact14@investor14.com,Approved,No,Domestic,M. Patel
INV-0015,Stanford University Endowment,Endowment,USA,US Tax-Exempt,4137.0,4.2,Contact Person 15,contact15@investor15.com,Approved,No,Domestic,S. Park
INV-0016,Virginia State Teachers' Retirement System,Public Pension Fund,USA,US Tax-Exempt,69434.0,11.3,Contact Person 16,contact16@investor16.com,Approved,No,Domestic,S. Park
INV-0017,Prudential Multi-Strategy Fund,Asset Manager / Bank,UK,Taxable,65276.0,10.0,Contact Person 17,contact17@investor17.com,Approved,No,Offshore,J. Williams
INV-0018,Blackstone Family Office,Family Office,USA,Taxable,8351.0,6.2,Contact Person 18,contact18@investor18.com,Pending,No,Domestic,S. Park
INV-0019,Duke College Investment Office,Endowment,USA,US Tax-Exempt,13241.0,14.1,Contact Person 19,contact19@investor19.com,Approved,No,Domestic,A. Mensah
INV-0020,Johnson Charitable Foundation (20),Foundation,USA,US Tax-Exempt,6393.0,5.8,Contact Person 20,contact20@investor20.com,Approved,No,Domestic,R. Chen
INV-0021,Government Pension Fund — Singapore,Sovereign Wealth Fund,Temasek,Foreign Government,367256.0,8.0,Contact Person 21,contact21@investor21.com,Approved,No,Offshore,M. Patel
INV-0022,Aetna Life Insurance Company,Insurance Company,UK,Taxable,26578.0,19.3,Contact Person 22,contact22@investor22.com,Approved,No,Offshore,S. Park
INV-0023,Minnesota State Teachers' Retirement System,Public Pension Fund,USA,US Tax-Exempt,173055.0,13.1,Contact Person 23,contact23@investor23.com,Approved,No,Domestic,J. Williams
