commitment_id,opportunity_id,investor_id,offering_id,fund_id,close_id,committed_amount_usd,commitment_date,subscription_date,currency,equalization_amount_usd,status,side_letter,erisa_bucketing
COMM-0001,OPP-0001,INV-0001,FUND-AGE-II-DOM-A,FUND-AGE-II,FUND-AGE-II-FC2,103675791.0,2022-12-27,2022-12-09,USD,1244109.0,Active,Yes,No
COMM-0002,OPP-0007,INV-0006,FUND-ACO-IV-DOM-A,FUND-ACO-IV,FUND-ACO-IV-FC1,33399423.0,2021-06-30,2021-05-27,USD,0.0,Active,No,No
COMM-0003,OPP-0008,INV-0007,FUND-ACO-IV-OFF-A,FUND-ACO-IV,FUND-ACO-IV-FC2,489002859.0,2021-12-27,2021-11-16,USD,5868034.0,Active,No,No
COMM-0004,OPP-0009,INV-0008,FUND-AIP-II-OFF-A,FUND-AIP-II,FUND-AIP-II-FC2,141412334.0,2021-12-27,2021-11-29,USD,1696948.0,Active,No,No
COMM-0005,OPP-0014,INV-0011,FUND-ABF-IX-OFF-A,FUND-ABF-IX,FUND-ABF-IX-FC2,267662409.0,2021-12-27,2021-11-25,USD,3211949.0,Active,No,No
COMM-0006,OPP-0015,INV-0012,FUND-ACO-V-DOM-A,FUND-ACO-V,FUND-ACO-V-FC1,468541030.0,2023-06-30,2023-05-24,USD,0.0,Active,No,No
COMM-0007,OPP-0017,INV-0014,FUND-ACO-V-DOM-A,FUND-ACO-V,FUND-ACO-V-FC1,150426500.0,2023-06-30,2023-06-15,USD,0.0,Active,Yes,No
COMM-0008,OPP-0019,INV-0016,FUND-ABF-X-DOM-A,FUND-ABF-X,FUND-ABF-X-FC2,157390283.0,2023-12-27,2023-11-13,USD,1888683.0,Active,Yes,No
COMM-0009,OPP-0022,INV-0018,FUND-ACO-V-DOM-A,FUND-ACO-V,FUND-ACO-V-FC2,175027915.0,2023-12-27,2023-11-21,USD,2100335.0,Active,No,No
COMM-0010,OPP-0023,INV-0019,FUND-AIP-III-DOM-A,FUND-AIP-III,FUND-AIP-III-FC2,350623148.0,2023-12-27,2023-12-10,USD,4207478.0,Active,Yes,No
COMM-0011,OPP-0028,INV-0023,FUND-AGE-II-DOM-A,FUND-AGE-II,FUND-AGE-II-FC2,252256099.0,2022-12-27,2022-12-09,USD,3027073.0,Active,No,No
COMM-0012,OPP-0030,INV-0024,FUND-AGE-II-OFF-A,FUND-AGE-II,FUND-AGE-II-FC2,197206268.0,2022-12-27,2022-11-28,USD,2366475.0,Active,No,No
COMM-0013,OPP-0031,INV-0024,FUND-ARA-IV-OFF-A,FUND-ARA-IV,FUND-ARA-IV-FC2,447047660.0,2022-12-27,2022-12-11,USD,5364572.0,Active,Yes,No
COMM-0014,OPP-0034,INV-0027,FUND-AGE-III-DOM-A,FUND-AGE-III,FUND-AGE-III-FC1,111036964.0,2024-06-30,2024-05-19,USD,0.0,Active,Yes,No
COMM-0015,OPP-0038,INV-0031,FUND-AIP-II-OFF-A,FUND-AIP-II,FUND-AIP-II-FC2,404400712.0,2021-12-27,2021-12-01,USD,4852809.0,Active,No,No
COMM-0016,OPP-0040,INV-0033,FUND-AGE-III-DOM-A,FUND-AGE-III,FUND-AGE-III-FC2,131205507.0,2024-12-27,2024-12-09,USD,1574466.0,Active,Yes,No
COMM-0017,OPP-0044,INV-0036,FUND-AIP-II-OFF-A,FUND-AIP-II,FUND-AIP-II-FC2,7724954.0,2021-12-27,2021-11-14,USD,92699.0,Active,Yes,No
COMM-0018,OPP-0045,INV-0036,FUND-ARA-III-OFF-A,FUND-ARA-III,FUND-ARA-III-FC2,60138878.0,2020-12-27,2020-12-08,USD,721667.0,Active,No,No
COMM-0019,OPP-0047,INV-0037,FUND-ABF-X-DOM-A,FUND-ABF-X,FUND-ABF-X-FC2,192153561.0,2023-12-27,2023-11-14,USD,2305843.0,Active,No,No
COMM-0020,OPP-0049,INV-0039,FUND-ARA-III-DOM-A,FUND-ARA-III,FUND-ARA-III-FC2,91367702.0,2020-12-27,2020-12-04,USD,1096412.0,Active,Yes,No
COMM-0021,OPP-0054,INV-0043,FUND-ARA-IV-DOM-A,FUND-ARA-IV,FUND-ARA-IV-FC1,340930228.0,2022-06-30,2022-06-05,USD,0.0,Active,No,Yes
COMM-0022,OPP-0055,INV-0044,FUND-AGE-III-DOM-A,FUND-AGE-III,FUND-AGE-III-FC1,357105276.0,2024-06-30,2024-06-03,USD,0.0,Active,No,No
COMM-0023,OPP-0057,INV-0046,FUND-AIP-III-OFF-A,FUND-AIP-III,FUND-AIP-III-FC1,314677497.0,2023-06-30,2023-06-03,USD,0.0,Active,No,No
COMM-0024,OPP-0060,INV-0049,FUND-AGE-II-DOM-A,FUND-AGE-II,FUND-AGE-II-FC2,489205824.0,2022-12-27,2022-11-22,USD,5870470.0,Active,No,No
COMM-0025,OPP-0064,INV-0052,FUND-AGE-II-DOM-A,FUND-AGE-II,FUND-AGE-II-FC1,204379782.0,2022-06-30,2022-05-24,USD,0.0,Active,Yes,No
COMM-0026,OPP-0065,INV-0053,FUND-AGE-II-DOM-A,FUND-AGE-II,FUND-AGE-II-FC1,59380332.0,2022-06-30,2022-05-19,USD,0.0,Active,No,No
COMM-0027,OPP-0067,INV-0055,FUND-AGE-II-DOM-A,FUND-AGE-II,FUND-AGE-II-FC2,193210943.0,2022-12-27,2022-11-13,USD,2318531.0,Active,No,No
COMM-0028,OPP-0070,INV-0057,FUND-AGE-II-DOM-A,FUND-AGE-II,FUND-AGE-II-FC1,484450553.0,2022-06-30,2022-05-25,USD,0.0,Active,No,No
