transaction_id,notice_id,capital_call_id,fund_id,feeder_id,investor_id,commitment_id,transaction_type,entity_level,posting_date,effective_date,account_debit,account_credit,amount_usd,currency,description,reference,created_by,approved_by,gl_status,ta_unit_adjustment
TXN-0000001,CCN-00001,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-OFF,INV-0011,COMM-0005,CapitalCallReceivable,Feeder,2021-09-15,2021-09-15,Capital Call Receivable — LP,Capital Contributions Payable,83510671.61,USD,Book capital call receivable from New Zealand National Wealth Fund re CC1,WIRE-000001,Fund Admin — State Street,Controller,Posted,No
TXN-0000002,CCN-00001,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-OFF,INV-0011,COMM-0005,CashReceipt,Feeder,2021-09-25,2021-09-25,Cash and Cash Equivalents,Capital Call Receivable — LP,83510671.61,USD,Receive wire from New Zealand National Wealth Fund re CC1 due 2021-09-25,WIRE-000001,Fund Admin — State Street,Controller,Posted,Yes
TXN-0000003,CCN-00001,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-OFF,INV-0011,COMM-0005,InvestmentInMainFund,Feeder,2021-09-26,2021-09-26,Investment in Main Fund,Cash and Cash Equivalents,80298722.7,USD,Feeder remittance to Main Fund — CC1 proceeds,WIRE-000001,Fund Admin — State Street,Controller,Posted,No
TXN-0000004,CCN-00001,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-OFF,INV-0011,COMM-0005,CapitalFromFeeder,Main Fund,2021-09-26,2021-09-26,Cash and Cash Equivalents,LP Capital Account — Feeder Contribution,80298722.7,USD,Receive feeder remittance CC1 from FUND-ABF-IX-OFF,WIRE-000001,Fund Admin — State Street,Controller,Posted,No
TXN-0000005,CCN-00001,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-OFF,INV-0011,COMM-0005,PortfolioDeployment,Main Fund,2021-09-30,2021-09-30,Portfolio Investment — Cost,Cash and Cash Equivalents,80298722.7,USD,Deploy capital into portfolio company — CC1,WIRE-000001,Fund Admin — State Street,Controller,Posted,No
TXN-0000006,CCN-00002,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-DOM,INV-0070,COMM-0035,CapitalCallReceivable,Feeder,2021-09-15,2021-09-15,Capital Call Receivable — LP,Capital Contributions Payable,18169231.7,USD,Book capital call receivable from Aflac Re Investment Portfolio re CC1,WIRE-000002,Fund Admin — State Street,Controller,Posted,No
TXN-0000007,CCN-00002,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-DOM,INV-0070,COMM-0035,CashReceipt,Feeder,2021-09-25,2021-09-25,Cash and Cash Equivalents,Capital Call Receivable — LP,18169231.7,USD,Receive wire from Aflac Re Investment Portfolio re CC1 due 2021-09-25,WIRE-000002,Fund Admin — State Street,Controller,Posted,Yes
TXN-0000008,CCN-00002,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-DOM,INV-0070,COMM-0035,InvestmentInMainFund,Feeder,2021-09-26,2021-09-26,Investment in Main Fund,Cash and Cash Equivalents,17470415.1,USD,Feeder remittance to Main Fund — CC1 proceeds,WIRE-000002,Fund Admin — State Street,Controller,Posted,No
TXN-0000009,CCN-00002,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-DOM,INV-0070,COMM-0035,CapitalFromFeeder,Main Fund,2021-09-26,2021-09-26,Cash and Cash Equivalents,LP Capital Account — Feeder Contribution,17470415.1,USD,Receive feeder remittance CC1 from FUND-ABF-IX-DOM,WIRE-000002,Fund Admin — State Street,Controller,Posted,No
TXN-0000010,CCN-00002,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-DOM,INV-0070,COMM-0035,PortfolioDeployment,Main Fund,2021-09-30,2021-09-30,Portfolio Investment — Cost,Cash and Cash Equivalents,17470415.1,USD,Deploy capital into portfolio company — CC1,WIRE-000002,Fund Admin — State Street,Controller,Posted,No
