golden_member_id,golden_team_id,src_a_member_id,src_b_member_id,src_c_member_id
GM0000001,GT0000001,,SRB_M0000001,
GM0000002,GT0000001,,,
GM0000003,GT0000002,SRA_M0000001,SRB_M0000002,
GM0000004,GT0000002,SRA_M0000002,SRB_M0000003,SRC_M0000001
GM0000005,GT0000002,SRA_M0000003,,SRC_M0000002
GM0000006,GT0000002,SRA_M0000004,SRB_M0000004,
GM0000007,GT0000003,,,
GM0000008,GT0000003,,SRB_M0000005,
GM0000009,GT0000003,,,
GM0000010,GT0000003,,,
GM0000011,GT0000003,,SRB_M0000006,
GM0000012,GT0000003,,SRB_M0000007,
GM0000013,GT0000004,,SRB_M0000008,
GM0000014,GT0000004,SRA_M0000005,SRB_M0000009,
GM0000015,GT0000004,SRA_M0000006,SRB_M0000010,
GM0000016,GT0000004,SRA_M0000007,SRB_M0000011,
GM0000017,GT0000005,,SRB_M0000012,
GM0000018,GT0000005,,SRB_M0000013,SRC_M0000003
GM0000019,GT0000006,SRA_M0000008,,
GM0000020,GT0000006,SRA_M0000009,,
GM0000021,GT0000006,,,
GM0000022,GT0000006,,,
GM0000023,GT0000006,SRA_M0000010,,
GM0000024,GT0000007,SRA_M0000011,SRB_M0000014,
GM0000025,GT0000007,SRA_M0000012,,
GM0000026,GT0000007,SRA_M0000013,SRB_M0000015,
GM0000027,GT0000008,SRA_M0000014,SRB_M0000016,SRC_M0000004
GM0000028,GT0000008,SRA_M0000015,SRB_M0000017,SRC_M0000005
GM0000029,GT0000009,,SRB_M0000018,
GM0000030,GT0000009,SRA_M0000016,SRB_M0000019,
GM0000031,GT0000009,SRA_M0000017,SRB_M0000020,
GM0000032,GT0000009,SRA_M0000018,SRB_M0000021,
GM0000033,GT0000010,SRA_M0000019,SRB_M0000023,SRC_M0000006
GM0000034,GT0000010,,SRB_M0000024,
GM0000035,GT0000010,SRA_M0000020,SRB_M0000025,SRC_M0000007
GM0000036,GT0000010,SRA_M0000021,,
GM0000037,GT0000011,SRA_M0000022,SRB_M0000026,
GM0000038,GT0000011,SRA_M0000023,SRB_M0000027,
GM0000039,GT0000011,SRA_M0000024,SRB_M0000028,
GM0000040,GT0000012,SRA_M0000025,SRB_M0000029,
GM0000041,GT0000012,SRA_M0000026,SRB_M0000030,
GM0000042,GT0000012,,SRB_M0000031,
GM0000043,GT0000013,,SRB_M0000032,
GM0000044,GT0000013,,SRB_M0000033,
GM0000045,GT0000013,,SRB_M0000034,
GM0000046,GT0000013,,SRB_M0000035,
GM0000047,GT0000013,,SRB_M0000036,
GM0000048,GT0000014,SRA_M0000027,SRB_M0000037,SRC_M0000008
GM0000049,GT0000014,SRA_M0000028,SRB_M0000038,SRC_M0000009
GM0000050,GT0000015,SRA_M0000029,SRB_M0000039,
GM0000051,GT0000015,SRA_M0000030,SRB_M0000040,
GM0000052,GT0000016,SRA_M0000031,,
GM0000053,GT0000016,SRA_M0000032,,
GM0000054,GT0000016,SRA_M0000033,,
GM0000055,GT0000017,SRA_M0000034,,SRC_M0000010
GM0000056,GT0000017,SRA_M0000035,,SRC_M0000011
GM0000057,GT0000018,SRA_M0000037,SRB_M0000041,SRC_M0000012
GM0000058,GT0000018,,,SRC_M0000013
GM0000059,GT0000018,,SRB_M0000042,
GM0000060,GT0000018,SRA_M0000038,,SRC_M0000014
GM0000061,GT0000018,SRA_M0000039,SRB_M0000043,SRC_M0000015
GM0000062,GT0000018,SRA_M0000040,SRB_M0000044,SRC_M0000016
GM0000063,GT0000019,SRA_M0000041,,
GM0000064,GT0000019,SRA_M0000042,SRB_M0000045,SRC_M0000017
GM0000065,GT0000019,SRA_M0000043,SRB_M0000046,SRC_M0000018
GM0000066,GT0000019,SRA_M0000044,SRB_M0000047,SRC_M0000019
GM0000067,GT0000020,SRA_M0000045,SRB_M0000048,
GM0000068,GT0000020,SRA_M0000046,SRB_M0000049,
GM0000069,GT0000021,SRA_M0000047,,
GM0000070,GT0000021,SRA_M0000048,SRB_M0000050,
GM0000071,GT0000021,SRA_M0000049,SRB_M0000051,SRC_M0000020
GM0000072,GT0000021,SRA_M0000050,SRB_M0000052,SRC_M0000021
GM0000073,GT0000021,SRA_M0000051,,SRC_M0000022
GM0000074,GT0000021,SRA_M0000052,SRB_M0000053,SRC_M0000023
GM0000075,GT0000022,SRA_M0000053,,SRC_M0000024
GM0000076,GT0000022,SRA_M0000054,,
GM0000077,GT0000023,SRA_M0000055,SRB_M0000054,
GM0000078,GT0000023,SRA_M0000056,SRB_M0000055,
GM0000079,GT0000023,SRA_M0000057,SRB_M0000056,
GM0000080,GT0000024,SRA_M0000058,SRB_M0000057,SRC_M0000026
GM0000081,GT0000024,SRA_M0000059,SRB_M0000058,SRC_M0000027
GM0000082,GT0000025,,SRB_M0000060,SRC_M0000028
GM0000083,GT0000025,SRA_M0000060,SRB_M0000061,
GM0000084,GT0000026,SRA_M0000061,SRB_M0000062,
GM0000085,GT0000026,SRA_M0000062,SRB_M0000063,SRC_M0000029
GM0000086,GT0000027,,,
GM0000087,GT0000027,SRA_M0000063,SRB_M0000064,
GM0000088,GT0000027,SRA_M0000064,,
GM0000089,GT0000027,SRA_M0000065,SRB_M0000065,
GM0000090,GT0000028,SRA_M0000066,,
GM0000091,GT0000028,SRA_M0000067,SRB_M0000066,
GM0000092,GT0000028,SRA_M0000068,SRB_M0000067,
GM0000093,GT0000029,SRA_M0000069,SRB_M0000068,
GM0000094,GT0000029,SRA_M0000070,SRB_M0000069,SRC_M0000030
GM0000095,GT0000029,SRA_M0000071,SRB_M0000070,SRC_M0000031
GM0000096,GT0000029,SRA_M0000072,SRB_M0000071,
GM0000097,GT0000029,SRA_M0000073,,SRC_M0000032
GM0000098,GT0000030,SRA_M0000074,SRB_M0000072,
GM0000099,GT0000030,SRA_M0000075,,
GM0000100,GT0000030,SRA_M0000076,,
GM0000101,GT0000031,,SRB_M0000073,
GM0000102,GT0000031,,SRB_M0000074,SRC_M0000033
GM0000103,GT0000031,,SRB_M0000075,
GM0000104,GT0000032,SRA_M0000077,,SRC_M0000034
GM0000105,GT0000032,SRA_M0000078,,SRC_M0000035
GM0000106,GT0000033,SRA_M0000079,SRB_M0000076,
GM0000107,GT0000033,SRA_M0000080,SRB_M0000077,
GM0000108,GT0000033,SRA_M0000081,SRB_M0000078,
GM0000109,GT0000033,SRA_M0000082,SRB_M0000079,
GM0000110,GT0000033,SRA_M0000083,SRB_M0000080,
GM0000111,GT0000033,SRA_M0000084,,
GM0000112,GT0000034,,,SRC_M0000036
GM0000113,GT0000034,,,SRC_M0000037
GM0000114,GT0000034,,,SRC_M0000038
GM0000115,GT0000034,,,SRC_M0000039
GM0000116,GT0000035,SRA_M0000085,SRB_M0000082,
GM0000117,GT0000035,SRA_M0000086,SRB_M0000083,
GM0000118,GT0000035,SRA_M0000087,SRB_M0000084,
GM0000119,GT0000036,,,SRC_M0000040
GM0000120,GT0000036,SRA_M0000088,SRB_M0000085,
GM0000121,GT0000036,SRA_M0000089,SRB_M0000086,SRC_M0000041
GM0000122,GT0000036,SRA_M0000090,,SRC_M0000042
GM0000123,GT0000036,SRA_M0000091,SRB_M0000087,SRC_M0000043
GM0000124,GT0000036,SRA_M0000092,SRB_M0000088,
GM0000125,GT0000037,,,SRC_M0000044
GM0000126,GT0000037,,,SRC_M0000045
GM0000127,GT0000037,,,SRC_M0000046
GM0000128,GT0000037,,,SRC_M0000047
GM0000129,GT0000037,,,
GM0000130,GT0000038,SRA_M0000093,,
GM0000131,GT0000038,SRA_M0000094,,
GM0000132,GT0000038,SRA_M0000095,,
GM0000133,GT0000039,SRA_M0000096,SRB_M0000089,SRC_M0000048
GM0000134,GT0000039,SRA_M0000097,SRB_M0000090,SRC_M0000049
GM0000135,GT0000039,SRA_M0000098,SRB_M0000091,SRC_M0000050
GM0000136,GT0000039,,,SRC_M0000051
GM0000137,GT0000039,SRA_M0000099,SRB_M0000092,SRC_M0000052
GM0000138,GT0000039,,SRB_M0000093,SRC_M0000053
GM0000139,GT0000040,SRA_M0000100,,
GM0000140,GT0000040,SRA_M0000101,,
GM0000141,GT0000040,,,
GM0000142,GT0000040,SRA_M0000102,,
GM0000143,GT0000040,SRA_M0000103,,
GM0000144,GT0000040,SRA_M0000104,,
GM0000145,GT0000041,,SRB_M0000094,
GM0000146,GT0000041,,SRB_M0000095,
GM0000147,GT0000041,,SRB_M0000096,
GM0000148,GT0000041,,SRB_M0000097,
GM0000149,GT0000041,,,
GM0000150,GT0000042,SRA_M0000105,,SRC_M0000054
GM0000151,GT0000042,SRA_M0000106,SRB_M0000098,SRC_M0000055
GM0000152,GT0000042,SRA_M0000107,SRB_M0000099,SRC_M0000056
GM0000153,GT0000042,SRA_M0000108,SRB_M0000100,
GM0000154,GT0000043,,,
GM0000155,GT0000043,SRA_M0000109,SRB_M0000101,
GM0000156,GT0000043,SRA_M0000110,SRB_M0000102,
GM0000157,GT0000043,SRA_M0000111,SRB_M0000103,
GM0000158,GT0000043,SRA_M0000112,SRB_M0000104,
GM0000159,GT0000043,SRA_M0000113,SRB_M0000105,
GM0000160,GT0000044,SRA_M0000114,SRB_M0000106,
GM0000161,GT0000044,SRA_M0000115,SRB_M0000107,
GM0000162,GT0000044,SRA_M0000116,SRB_M0000108,
GM0000163,GT0000044,SRA_M0000117,SRB_M0000109,
GM0000164,GT0000045,SRA_M0000118,SRB_M0000110,
GM0000165,GT0000045,SRA_M0000119,SRB_M0000111,
GM0000166,GT0000045,SRA_M0000120,SRB_M0000112,
GM0000167,GT0000045,SRA_M0000121,SRB_M0000113,
GM0000168,GT0000045,SRA_M0000122,SRB_M0000114,
GM0000169,GT0000046,SRA_M0000123,SRB_M0000116,SRC_M0000057
GM0000170,GT0000046,SRA_M0000124,,SRC_M0000058
GM0000171,GT0000046,SRA_M0000125,SRB_M0000117,SRC_M0000059
GM0000172,GT0000046,SRA_M0000126,,SRC_M0000060
GM0000173,GT0000047,SRA_M0000127,SRB_M0000118,
GM0000174,GT0000047,SRA_M0000128,SRB_M0000119,
GM0000175,GT0000047,SRA_M0000129,SRB_M0000120,
GM0000176,GT0000048,SRA_M0000130,SRB_M0000121,
GM0000177,GT0000048,SRA_M0000131,SRB_M0000122,
GM0000178,GT0000048,,SRB_M0000123,
GM0000179,GT0000049,,SRB_M0000124,
GM0000180,GT0000049,,SRB_M0000125,
GM0000181,GT0000049,,SRB_M0000126,
GM0000182,GT0000049,,SRB_M0000127,
GM0000183,GT0000050,SRA_M0000133,,
GM0000184,GT0000050,SRA_M0000134,,
GM0000185,GT0000051,SRA_M0000135,SRB_M0000128,
GM0000186,GT0000051,SRA_M0000136,,SRC_M0000061
GM0000187,GT0000052,SRA_M0000137,,SRC_M0000062
GM0000188,GT0000052,SRA_M0000138,,SRC_M0000063
GM0000189,GT0000052,SRA_M0000139,,SRC_M0000064
GM0000190,GT0000052,SRA_M0000140,,SRC_M0000065
GM0000191,GT0000052,SRA_M0000141,,SRC_M0000066
GM0000192,GT0000053,SRA_M0000142,SRB_M0000129,
GM0000193,GT0000053,SRA_M0000143,SRB_M0000130,
GM0000194,GT0000053,SRA_M0000144,SRB_M0000131,
GM0000195,GT0000053,SRA_M0000145,SRB_M0000132,
GM0000196,GT0000054,,SRB_M0000133,
