vehicle_id,vehicle_name,fund_id,vehicle_type,domicile,legal_form,currency,nav_reporting_frequency,auditor,administrator,transfer_agent,inception_date
FUND-ABF-IX-MAIN,AMC Buyout Fund IX — Master Fund,FUND-ABF-IX,Master Fund,Cayman Islands,Exempted Limited Partnership,USD,Quarterly,KPMG LLP,Citco Fund Services,State Street Global Services,2021-01-01
FUND-ABF-IX-DOM,AMC Buyout Fund IX — Domestic Feeder,FUND-ABF-IX,Domestic Feeder,"Delaware, USA",Delaware Limited Partnership,USD,Quarterly,KPMG LLP,Citco Fund Services,State Street Global Services,2021-01-01
FUND-ABF-IX-OFF,AMC Buyout Fund IX — Offshore Feeder,FUND-ABF-IX,Offshore Feeder,Cayman Islands,Exempted Limited Partnership,USD,Quarterly,PricewaterhouseCoopers,Citco Fund Services,State Street Global Services,2021-01-01
FUND-ABF-X-MAIN,AMC Buyout Fund X — Master Fund,FUND-ABF-X,Master Fund,Cayman Islands,Exempted Limited Partnership,USD,Quarterly,KPMG LLP,Citco Fund Services,State Street Global Services,2023-01-01
FUND-ABF-X-DOM,AMC Buyout Fund X — Domestic Feeder,FUND-ABF-X,Domestic Feeder,"Delaware, USA",Delaware Limited Partnership,USD,Quarterly,KPMG LLP,Citco Fund Services,State Street Global Services,2023-01-01
FUND-ABF-X-OFF,AMC Buyout Fund X — Offshore Feeder,FUND-ABF-X,Offshore Feeder,Cayman Islands,Exempted Limited Partnership,USD,Quarterly,PricewaterhouseCoopers,Citco Fund Services,State Street Global Services,2023-01-01
FUND-ACO-IV-MAIN,AMC Credit Opps IV — Master Fund,FUND-ACO-IV,Master Fund,Cayman Islands,Exempted Limited Partnership,USD,Quarterly,KPMG LLP,Citco Fund Services,State Street Global Services,2021-01-01
FUND-ACO-IV-DOM,AMC Credit Opps IV — Domestic Feeder,FUND-ACO-IV,Domestic Feeder,"Delaware, USA",Delaware Limited Partnership,USD,Quarterly,KPMG LLP,Citco Fund Services,State Street Global Services,2021-01-01
FUND-ACO-IV-OFF,AMC Credit Opps IV — Offshore Feeder,FUND-ACO-IV,Offshore Feeder,Cayman Islands,Exempted Limited Partnership,USD,Quarterly,PricewaterhouseCoopers,Citco Fund Services,State Street Global Services,2021-01-01
FUND-ACO-V-MAIN,AMC Credit Opps V — Master Fund,FUND-ACO-V,Master Fund,Cayman Islands,Exempted Limited Partnership,USD,Quarterly,KPMG LLP,Citco Fund Services,State Street Global Services,2023-01-01
FUND-ACO-V-DOM,AMC Credit Opps V — Domestic Feeder,FUND-ACO-V,Domestic Feeder,"Delaware, USA",Delaware Limited Partnership,USD,Quarterly,KPMG LLP,Citco Fund Services,State Street Global Services,2023-01-01
FUND-ACO-V-OFF,AMC Credit Opps V — Offshore Feeder,FUND-ACO-V,Offshore Feeder,Cayman Islands,Exempted Limited Partnership,USD,Quarterly,PricewaterhouseCoopers,Citco Fund Services,State Street Global Services,2023-01-01
