offering_id,offering_name,vehicle_id,fund_id,share_class,currency,minimum_commitment_usdm,management_fee_pct,carried_interest_pct,preferred_return_pct,subscription_document_type,status
FUND-ABF-IX-MAIN-A,AMC Buyout Fund IX — Master Fund — Class A,FUND-ABF-IX-MAIN,FUND-ABF-IX,Class A,USD,25.0,1.5,20,8.0,LP Interest,Open
FUND-ABF-IX-MAIN-B,AMC Buyout Fund IX — Master Fund — Class B,FUND-ABF-IX-MAIN,FUND-ABF-IX,Class B,USD,25.0,1.27,20,8.0,LP Interest,Open
FUND-ABF-IX-DOM-A,AMC Buyout Fund IX — Domestic Feeder — Class A,FUND-ABF-IX-DOM,FUND-ABF-IX,Class A,USD,5.0,1.5,20,8.0,LP Interest,Open
FUND-ABF-IX-DOM-B,AMC Buyout Fund IX — Domestic Feeder — Class B,FUND-ABF-IX-DOM,FUND-ABF-IX,Class B,USD,5.0,1.27,20,8.0,LP Interest,Open
FUND-ABF-IX-OFF-A,AMC Buyout Fund IX — Offshore Feeder — Class A,FUND-ABF-IX-OFF,FUND-ABF-IX,Class A,USD,10.0,1.5,20,8.0,LP Interest,Open
FUND-ABF-IX-OFF-B,AMC Buyout Fund IX — Offshore Feeder — Class B,FUND-ABF-IX-OFF,FUND-ABF-IX,Class B,USD,10.0,1.27,20,8.0,LP Interest,Open
FUND-ABF-X-MAIN-A,AMC Buyout Fund X — Master Fund — Class A,FUND-ABF-X-MAIN,FUND-ABF-X,Class A,USD,25.0,1.5,20,8.0,LP Interest,Open
FUND-ABF-X-MAIN-B,AMC Buyout Fund X — Master Fund — Class B,FUND-ABF-X-MAIN,FUND-ABF-X,Class B,USD,25.0,1.27,20,8.0,LP Interest,Open
FUND-ABF-X-DOM-A,AMC Buyout Fund X — Domestic Feeder — Class A,FUND-ABF-X-DOM,FUND-ABF-X,Class A,USD,5.0,1.5,20,8.0,LP Interest,Open
FUND-ABF-X-DOM-B,AMC Buyout Fund X — Domestic Feeder — Class B,FUND-ABF-X-DOM,FUND-ABF-X,Class B,USD,5.0,1.27,20,8.0,LP Interest,Open
FUND-ABF-X-OFF-A,AMC Buyout Fund X — Offshore Feeder — Class A,FUND-ABF-X-OFF,FUND-ABF-X,Class A,USD,10.0,1.5,20,8.0,LP Interest,Open
FUND-ABF-X-OFF-B,AMC Buyout Fund X — Offshore Feeder — Class B,FUND-ABF-X-OFF,FUND-ABF-X,Class B,USD,10.0,1.27,20,8.0,LP Interest,Open
FUND-ACO-IV-MAIN-A,AMC Credit Opps IV — Master Fund — Class A,FUND-ACO-IV-MAIN,FUND-ACO-IV,Class A,USD,25.0,1.5,20,8.0,LP Interest,Open
FUND-ACO-IV-MAIN-B,AMC Credit Opps IV — Master Fund — Class B,FUND-ACO-IV-MAIN,FUND-ACO-IV,Class B,USD,25.0,1.27,20,8.0,LP Interest,Open
FUND-ACO-IV-DOM-A,AMC Credit Opps IV — Domestic Feeder — Class A,FUND-ACO-IV-DOM,FUND-ACO-IV,Class A,USD,5.0,1.5,20,8.0,LP Interest,Open
FUND-ACO-IV-DOM-B,AMC Credit Opps IV — Domestic Feeder — Class B,FUND-ACO-IV-DOM,FUND-ACO-IV,Class B,USD,5.0,1.27,20,8.0,LP Interest,Open
FUND-ACO-IV-OFF-A,AMC Credit Opps IV — Offshore Feeder — Class A,FUND-ACO-IV-OFF,FUND-ACO-IV,Class A,USD,10.0,1.5,20,8.0,LP Interest,Open
FUND-ACO-IV-OFF-B,AMC Credit Opps IV — Offshore Feeder — Class B,FUND-ACO-IV-OFF,FUND-ACO-IV,Class B,USD,10.0,1.27,20,8.0,LP Interest,Open
FUND-ACO-V-MAIN-A,AMC Credit Opps V — Master Fund — Class A,FUND-ACO-V-MAIN,FUND-ACO-V,Class A,USD,25.0,1.5,20,8.0,LP Interest,Open
FUND-ACO-V-MAIN-B,AMC Credit Opps V — Master Fund — Class B,FUND-ACO-V-MAIN,FUND-ACO-V,Class B,USD,25.0,1.27,20,8.0,LP Interest,Open
FUND-ACO-V-DOM-A,AMC Credit Opps V — Domestic Feeder — Class A,FUND-ACO-V-DOM,FUND-ACO-V,Class A,USD,5.0,1.5,20,8.0,LP Interest,Open
FUND-ACO-V-DOM-B,AMC Credit Opps V — Domestic Feeder — Class B,FUND-ACO-V-DOM,FUND-ACO-V,Class B,USD,5.0,1.27,20,8.0,LP Interest,Open
FUND-ACO-V-OFF-A,AMC Credit Opps V — Offshore Feeder — Class A,FUND-ACO-V-OFF,FUND-ACO-V,Class A,USD,10.0,1.5,20,8.0,LP Interest,Open
