close_id,fund_id,fund_name,close_number,close_date,aggregate_commitments_usdm,currency,equalization_rate,close_type
FUND-ABF-IX-FC1,FUND-ABF-IX,AMC Buyout Fund IX,1,2021-03-11,7177,USD,0.0,Interim
FUND-ABF-IX-FC2,FUND-ABF-IX,AMC Buyout Fund IX,2,2021-11-17,16202,USD,17.22,Final
FUND-ABF-X-FC1,FUND-ABF-X,AMC Buyout Fund X,1,2023-04-13,10678,USD,0.0,Interim
FUND-ABF-X-FC2,FUND-ABF-X,AMC Buyout Fund X,2,2023-07-30,21044,USD,41.47,Final
FUND-ACO-IV-FC1,FUND-ACO-IV,AMC Credit Opps IV,1,2021-05-10,4585,USD,0.0,Interim
FUND-ACO-IV-FC2,FUND-ACO-IV,AMC Credit Opps IV,2,2021-09-10,9324,USD,20.07,Final
FUND-ACO-V-FC1,FUND-ACO-V,AMC Credit Opps V,1,2023-04-02,5653,USD,0.0,Interim
FUND-ACO-V-FC2,FUND-ACO-V,AMC Credit Opps V,2,2023-10-30,9943,USD,11.87,Final
FUND-ARA-III-FC1,FUND-ARA-III,AMC Real Assets III,1,2020-04-25,3308,USD,0.0,Interim
FUND-ARA-III-FC2,FUND-ARA-III,AMC Real Assets III,2,2020-10-22,6960,USD,17.11,Final
FUND-ARA-IV-FC1,FUND-ARA-IV,AMC Real Assets IV,1,2022-05-27,4727,USD,0.0,Interim
FUND-ARA-IV-FC2,FUND-ARA-IV,AMC Real Assets IV,2,2023-02-08,7740,USD,13.97,Final
FUND-AIP-II-FC1,FUND-AIP-II,AMC Infra Partners II,1,2021-04-14,5809,USD,0.0,Interim
FUND-AIP-II-FC2,FUND-AIP-II,AMC Infra Partners II,2,2021-08-09,12428,USD,23.58,Final
FUND-AIP-III-FC1,FUND-AIP-III,AMC Infra Partners III,1,2023-04-25,7052,USD,0.0,Interim
FUND-AIP-III-FC2,FUND-AIP-III,AMC Infra Partners III,2,2023-09-08,15074,USD,42.91,Final
FUND-AGE-I-FC1,FUND-AGE-I,AMC Growth Equity I,1,2019-04-27,1823,USD,0.0,Interim
FUND-AGE-I-FC2,FUND-AGE-I,AMC Growth Equity I,2,2019-12-13,4489,USD,9.34,Final
FUND-AGE-II-FC1,FUND-AGE-II,AMC Growth Equity II,1,2022-03-03,3423,USD,0.0,Interim
FUND-AGE-II-FC2,FUND-AGE-II,AMC Growth Equity II,2,2022-06-24,6491,USD,8.65,Final
