commitment_id,opportunity_id,investor_id,offering_id,fund_id,close_id,committed_amount_usd,commitment_date,subscription_date,currency,equalization_amount_usd,status,side_letter,erisa_bucketing
COMM-0001,OPP-0001,INV-0021,FUND-ACO-V-DOM-A,FUND-ACO-V,FUND-ACO-V-FC1,29820000.0,2023-04-02,2023-03-18,USD,0.0,Active,No,Yes
COMM-0002,OPP-0002,INV-0033,FUND-ABF-IX-OFF-A,FUND-ABF-IX,FUND-ABF-IX-FC1,426410000.0,2021-03-11,2021-01-29,USD,0.0,Active,Yes,No
COMM-0003,OPP-0003,INV-0016,FUND-AIP-II-OFF-A,FUND-AIP-II,FUND-AIP-II-FC2,64340000.0,2021-08-09,2021-07-31,USD,0.0,Active,No,No
COMM-0004,OPP-0004,INV-0039,FUND-AGE-I-OFF-A,FUND-AGE-I,FUND-AGE-I-FC1,311590000.0,2019-04-27,2019-04-08,USD,0.0,Active,No,No
COMM-0005,OPP-0005,INV-0014,FUND-ACO-IV-DOM-A,FUND-ACO-IV,FUND-ACO-IV-FC2,123150000.0,2021-09-10,2021-08-21,USD,0.0,Active,No,No
COMM-0006,OPP-0006,INV-0020,FUND-AGE-II-DOM-A,FUND-AGE-II,FUND-AGE-II-FC2,161510000.0,2022-06-24,2022-05-14,USD,0.0,Active,Yes,No
COMM-0007,OPP-0007,INV-0040,FUND-AGE-II-OFF-A,FUND-AGE-II,FUND-AGE-II-FC1,41260000.0,2022-03-03,2022-01-30,USD,0.0,Active,No,Yes
COMM-0008,OPP-0008,INV-0023,FUND-ABF-X-OFF-A,FUND-ABF-X,FUND-ABF-X-FC1,440240000.0,2023-04-13,2023-03-22,USD,0.0,Active,No,Yes
COMM-0009,OPP-0009,INV-0029,FUND-AGE-I-DOM-A,FUND-AGE-I,FUND-AGE-I-FC2,307780000.0,2019-12-13,2019-12-09,USD,0.0,Active,Yes,No
COMM-0010,OPP-0010,INV-0036,FUND-ABF-X-MAIN-B,FUND-ABF-X,FUND-ABF-X-FC2,466220000.0,2023-07-30,2023-06-21,USD,0.0,Active,No,No
COMM-0011,OPP-0011,INV-0008,FUND-ARA-III-OFF-A,FUND-ARA-III,FUND-ARA-III-FC1,372500000.0,2020-04-25,2020-03-20,USD,0.0,Active,No,No
COMM-0012,OPP-0012,INV-0039,FUND-AIP-III-DOM-A,FUND-AIP-III,FUND-AIP-III-FC1,360220000.0,2023-04-25,2023-03-24,USD,0.0,Active,No,No
