wire_id,wire_date,wire_leg,sender_id,sender_name,platform,receiver_entity_id,receiver_bank_account,amount_usd,currency,notice_id,capital_call_id,status,processed_by,match_status
WIRE-000001,2023-08-25,LP → Feeder,INV-0021,Blackstone Alternative Asset Management,Blackstone Alternative Asset Management,FUND-ACO-V-DOM,CITI-200300400,8946000.0,USD,CCN-00001,FUND-ACO-V-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000002,2024-02-09,LP → Feeder,INV-0021,Blackstone Alternative Asset Management,Blackstone Alternative Asset Management,FUND-ACO-V-DOM,BOFA-300400500,7455000.0,USD,CCN-00002,FUND-ACO-V-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000004,2021-12-14,LP → Feeder,INV-0033,UBS Financial Services — Agg Acc,UBS Financial Services,FUND-ABF-IX-OFF,GS-400500600,106602500.0,USD,CCN-00004,FUND-ABF-IX-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000005,2021-09-08,LP → Feeder,INV-0016,AP4 Sweden,AP4 Sweden,FUND-AIP-II-OFF,JPMC-100200300,19302000.0,USD,CCN-00005,FUND-AIP-II-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000006,2022-05-17,LP → Feeder,INV-0016,AP4 Sweden,AP4 Sweden,FUND-AIP-II-OFF,GS-400500600,16085000.0,USD,CCN-00006,FUND-AIP-II-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000007,2019-08-30,LP → Feeder,INV-0039,CAIS Group — Agg Acc,CAIS Group,FUND-AGE-I-OFF,GS-400500600,93477000.0,USD,CCN-00007,FUND-AGE-I-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000008,2020-06-03,LP → Feeder,INV-0039,CAIS Group — Agg Acc,CAIS Group,FUND-AGE-I-OFF,GS-400500600,77897500.0,USD,CCN-00008,FUND-AGE-I-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000009,2021-08-31,LP → Feeder,INV-0014,Future Fund Australia,Future Fund Australia,FUND-ACO-IV-DOM,GS-400500600,36945000.0,USD,CCN-00009,FUND-ACO-IV-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000010,2022-03-09,LP → Feeder,INV-0014,Future Fund Australia,Future Fund Australia,FUND-ACO-IV-DOM,HSBC-600700800,30787500.0,USD,CCN-00010,FUND-ACO-IV-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000011,2022-09-08,LP → Feeder,INV-0020,Virginia Retirement System,Virginia Retirement System,FUND-AGE-II-DOM,CITI-200300400,48453000.0,USD,CCN-00011,FUND-AGE-II-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000012,2023-02-24,LP → Feeder,INV-0020,Virginia Retirement System,Virginia Retirement System,FUND-AGE-II-DOM,HSBC-600700800,40377500.0,USD,CCN-00012,FUND-AGE-II-CC2,Paid,AMC Capital — Fund Admin,Matched
