transaction_id,transaction_type,transaction_date,settlement_date,from_entity_id,to_entity_id,commitment_id,notice_id,amount_usd,debit_account,credit_account,fund_id,currency,status
TXN-000001,CapitalCallReceivable,2023-08-08,2023-08-25,INV-0021,FUND-ACO-V-DOM,COMM-0001,CCN-00001,8946000.0,Capital Call Receivable,Capital Contributions Payable,FUND-ACO-V,USD,Posted
TXN-000002,CashReceipt,2023-08-25,2023-08-25,INV-0021,FUND-ACO-V-DOM,COMM-0001,CCN-00001,8946000.0,Cash & Cash Equivalents,Capital Call Receivable,FUND-ACO-V,USD,Posted
TXN-000003,InvestmentInMasterFund,2023-08-28,2023-08-28,FUND-ACO-V-DOM,FUND-ACO-V-MAIN,COMM-0001,CCN-00001,8946000.0,Investment in Master Fund,Cash & Cash Equivalents,FUND-ACO-V,USD,Posted
TXN-000004,CapitalFromFeeder,2023-08-28,2023-08-28,FUND-ACO-V-DOM,FUND-ACO-V-MAIN,COMM-0001,CCN-00001,8946000.0,Cash & Cash Equivalents,LP Capital Account — Feeder,FUND-ACO-V,USD,Posted
TXN-000005,CapitalCallReceivable,2024-01-23,2024-02-09,INV-0021,FUND-ACO-V-DOM,COMM-0001,CCN-00002,7455000.0,Capital Call Receivable,Capital Contributions Payable,FUND-ACO-V,USD,Posted
TXN-000006,CashReceipt,2024-02-09,2024-02-09,INV-0021,FUND-ACO-V-DOM,COMM-0001,CCN-00002,7455000.0,Cash & Cash Equivalents,Capital Call Receivable,FUND-ACO-V,USD,Posted
TXN-000007,InvestmentInMasterFund,2024-02-12,2024-02-12,FUND-ACO-V-DOM,FUND-ACO-V-MAIN,COMM-0001,CCN-00002,7455000.0,Investment in Master Fund,Cash & Cash Equivalents,FUND-ACO-V,USD,Posted
TXN-000008,CapitalFromFeeder,2024-02-12,2024-02-12,FUND-ACO-V-DOM,FUND-ACO-V-MAIN,COMM-0001,CCN-00002,7455000.0,Cash & Cash Equivalents,LP Capital Account — Feeder,FUND-ACO-V,USD,Posted
TXN-000009,CapitalCallReceivable,2021-11-28,2021-12-14,INV-0033,FUND-ABF-IX-OFF,COMM-0002,CCN-00004,106602500.0,Capital Call Receivable,Capital Contributions Payable,FUND-ABF-IX,USD,Posted
TXN-000010,CashReceipt,2021-12-14,2021-12-14,INV-0033,FUND-ABF-IX-OFF,COMM-0002,CCN-00004,106602500.0,Cash & Cash Equivalents,Capital Call Receivable,FUND-ABF-IX,USD,Posted
TXN-000011,InvestmentInMasterFund,2021-12-15,2021-12-15,FUND-ABF-IX-OFF,FUND-ABF-IX-MAIN,COMM-0002,CCN-00004,106602500.0,Investment in Master Fund,Cash & Cash Equivalents,FUND-ABF-IX,USD,Posted
TXN-000012,CapitalFromFeeder,2021-12-15,2021-12-15,FUND-ABF-IX-OFF,FUND-ABF-IX-MAIN,COMM-0002,CCN-00004,106602500.0,Cash & Cash Equivalents,LP Capital Account — Feeder,FUND-ABF-IX,USD,Posted
TXN-000013,CapitalCallReceivable,2021-08-23,2021-09-08,INV-0016,FUND-AIP-II-OFF,COMM-0003,CCN-00005,19302000.0,Capital Call Receivable,Capital Contributions Payable,FUND-AIP-II,USD,Posted
TXN-000014,CashReceipt,2021-09-08,2021-09-08,INV-0016,FUND-AIP-II-OFF,COMM-0003,CCN-00005,19302000.0,Cash & Cash Equivalents,Capital Call Receivable,FUND-AIP-II,USD,Posted
TXN-000015,InvestmentInMasterFund,2021-09-09,2021-09-09,FUND-AIP-II-OFF,FUND-AIP-II-MAIN,COMM-0003,CCN-00005,19302000.0,Investment in Master Fund,Cash & Cash Equivalents,FUND-AIP-II,USD,Posted
TXN-000016,CapitalFromFeeder,2021-09-09,2021-09-09,FUND-AIP-II-OFF,FUND-AIP-II-MAIN,COMM-0003,CCN-00005,19302000.0,Cash & Cash Equivalents,LP Capital Account — Feeder,FUND-AIP-II,USD,Posted
TXN-000017,CapitalCallReceivable,2022-05-01,2022-05-17,INV-0016,FUND-AIP-II-OFF,COMM-0003,CCN-00006,16085000.0,Capital Call Receivable,Capital Contributions Payable,FUND-AIP-II,USD,Posted
TXN-000018,CashReceipt,2022-05-17,2022-05-17,INV-0016,FUND-AIP-II-OFF,COMM-0003,CCN-00006,16085000.0,Cash & Cash Equivalents,Capital Call Receivable,FUND-AIP-II,USD,Posted
TXN-000019,InvestmentInMasterFund,2022-05-18,2022-05-18,FUND-AIP-II-OFF,FUND-AIP-II-MAIN,COMM-0003,CCN-00006,16085000.0,Investment in Master Fund,Cash & Cash Equivalents,FUND-AIP-II,USD,Posted
TXN-000020,CapitalFromFeeder,2022-05-18,2022-05-18,FUND-AIP-II-OFF,FUND-AIP-II-MAIN,COMM-0003,CCN-00006,16085000.0,Cash & Cash Equivalents,LP Capital Account — Feeder,FUND-AIP-II,USD,Posted
TXN-000021,CapitalCallReceivable,2019-08-18,2019-08-30,INV-0039,FUND-AGE-I-OFF,COMM-0004,CCN-00007,93477000.0,Capital Call Receivable,Capital Contributions Payable,FUND-AGE-I,USD,Posted
TXN-000022,CashReceipt,2019-08-30,2019-08-30,INV-0039,FUND-AGE-I-OFF,COMM-0004,CCN-00007,93477000.0,Cash & Cash Equivalents,Capital Call Receivable,FUND-AGE-I,USD,Posted
TXN-000023,InvestmentInMasterFund,2019-09-02,2019-09-02,FUND-AGE-I-OFF,FUND-AGE-I-MAIN,COMM-0004,CCN-00007,93477000.0,Investment in Master Fund,Cash & Cash Equivalents,FUND-AGE-I,USD,Posted
TXN-000024,CapitalFromFeeder,2019-09-02,2019-09-02,FUND-AGE-I-OFF,FUND-AGE-I-MAIN,COMM-0004,CCN-00007,93477000.0,Cash & Cash Equivalents,LP Capital Account — Feeder,FUND-AGE-I,USD,Posted
TXN-000025,CapitalCallReceivable,2020-05-18,2020-06-03,INV-0039,FUND-AGE-I-OFF,COMM-0004,CCN-00008,77897500.0,Capital Call Receivable,Capital Contributions Payable,FUND-AGE-I,USD,Posted
TXN-000026,CashReceipt,2020-06-03,2020-06-03,INV-0039,FUND-AGE-I-OFF,COMM-0004,CCN-00008,77897500.0,Cash & Cash Equivalents,Capital Call Receivable,FUND-AGE-I,USD,Posted
TXN-000027,InvestmentInMasterFund,2020-06-04,2020-06-04,FUND-AGE-I-OFF,FUND-AGE-I-MAIN,COMM-0004,CCN-00008,77897500.0,Investment in Master Fund,Cash & Cash Equivalents,FUND-AGE-I,USD,Posted
TXN-000028,CapitalFromFeeder,2020-06-04,2020-06-04,FUND-AGE-I-OFF,FUND-AGE-I-MAIN,COMM-0004,CCN-00008,77897500.0,Cash & Cash Equivalents,LP Capital Account — Feeder,FUND-AGE-I,USD,Posted
TXN-000029,CapitalCallReceivable,2021-08-17,2021-08-31,INV-0014,FUND-ACO-IV-DOM,COMM-0005,CCN-00009,36945000.0,Capital Call Receivable,Capital Contributions Payable,FUND-ACO-IV,USD,Posted
TXN-000030,CashReceipt,2021-08-31,2021-08-31,INV-0014,FUND-ACO-IV-DOM,COMM-0005,CCN-00009,36945000.0,Cash & Cash Equivalents,Capital Call Receivable,FUND-ACO-IV,USD,Posted
TXN-000031,InvestmentInMasterFund,2021-09-01,2021-09-01,FUND-ACO-IV-DOM,FUND-ACO-IV-MAIN,COMM-0005,CCN-00009,36945000.0,Investment in Master Fund,Cash & Cash Equivalents,FUND-ACO-IV,USD,Posted
TXN-000032,CapitalFromFeeder,2021-09-01,2021-09-01,FUND-ACO-IV-DOM,FUND-ACO-IV-MAIN,COMM-0005,CCN-00009,36945000.0,Cash & Cash Equivalents,LP Capital Account — Feeder,FUND-ACO-IV,USD,Posted
TXN-000033,CapitalCallReceivable,2022-02-19,2022-03-09,INV-0014,FUND-ACO-IV-DOM,COMM-0005,CCN-00010,30787500.0,Capital Call Receivable,Capital Contributions Payable,FUND-ACO-IV,USD,Posted
TXN-000034,CashReceipt,2022-03-09,2022-03-09,INV-0014,FUND-ACO-IV-DOM,COMM-0005,CCN-00010,30787500.0,Cash & Cash Equivalents,Capital Call Receivable,FUND-ACO-IV,USD,Posted
TXN-000035,InvestmentInMasterFund,2022-03-10,2022-03-10,FUND-ACO-IV-DOM,FUND-ACO-IV-MAIN,COMM-0005,CCN-00010,30787500.0,Investment in Master Fund,Cash & Cash Equivalents,FUND-ACO-IV,USD,Posted
TXN-000036,CapitalFromFeeder,2022-03-10,2022-03-10,FUND-ACO-IV-DOM,FUND-ACO-IV-MAIN,COMM-0005,CCN-00010,30787500.0,Cash & Cash Equivalents,LP Capital Account — Feeder,FUND-ACO-IV,USD,Posted
TXN-000037,CapitalCallReceivable,2022-08-22,2022-09-08,INV-0020,FUND-AGE-II-DOM,COMM-0006,CCN-00011,48453000.0,Capital Call Receivable,Capital Contributions Payable,FUND-AGE-II,USD,Posted
TXN-000038,CashReceipt,2022-09-08,2022-09-08,INV-0020,FUND-AGE-II-DOM,COMM-0006,CCN-00011,48453000.0,Cash & Cash Equivalents,Capital Call Receivable,FUND-AGE-II,USD,Posted
TXN-000039,InvestmentInMasterFund,2022-09-09,2022-09-09,FUND-AGE-II-DOM,FUND-AGE-II-MAIN,COMM-0006,CCN-00011,48453000.0,Investment in Master Fund,Cash & Cash Equivalents,FUND-AGE-II,USD,Posted
TXN-000040,CapitalFromFeeder,2022-09-09,2022-09-09,FUND-AGE-II-DOM,FUND-AGE-II-MAIN,COMM-0006,CCN-00011,48453000.0,Cash & Cash Equivalents,LP Capital Account — Feeder,FUND-AGE-II,USD,Posted
TXN-000041,CapitalCallReceivable,2023-02-10,2023-02-24,INV-0020,FUND-AGE-II-DOM,COMM-0006,CCN-00012,40377500.0,Capital Call Receivable,Capital Contributions Payable,FUND-AGE-II,USD,Posted
TXN-000042,CashReceipt,2023-02-24,2023-02-24,INV-0020,FUND-AGE-II-DOM,COMM-0006,CCN-00012,40377500.0,Cash & Cash Equivalents,Capital Call Receivable,FUND-AGE-II,USD,Posted
TXN-000043,InvestmentInMasterFund,2023-02-27,2023-02-27,FUND-AGE-II-DOM,FUND-AGE-II-MAIN,COMM-0006,CCN-00012,40377500.0,Investment in Master Fund,Cash & Cash Equivalents,FUND-AGE-II,USD,Posted
TXN-000044,CapitalFromFeeder,2023-02-27,2023-02-27,FUND-AGE-II-DOM,FUND-AGE-II-MAIN,COMM-0006,CCN-00012,40377500.0,Cash & Cash Equivalents,LP Capital Account — Feeder,FUND-AGE-II,USD,Posted
TXN-000045,CapitalCallReceivable,2022-08-22,2022-09-07,INV-0040,FUND-AGE-II-OFF,COMM-0007,CCN-00013,12378000.0,Capital Call Receivable,Capital Contributions Payable,FUND-AGE-II,USD,Posted
TXN-000046,CashReceipt,2022-09-07,2022-09-07,INV-0040,FUND-AGE-II-OFF,COMM-0007,CCN-00013,12378000.0,Cash & Cash Equivalents,Capital Call Receivable,FUND-AGE-II,USD,Posted
TXN-000047,InvestmentInMasterFund,2022-09-08,2022-09-08,FUND-AGE-II-OFF,FUND-AGE-II-MAIN,COMM-0007,CCN-00013,12378000.0,Investment in Master Fund,Cash & Cash Equivalents,FUND-AGE-II,USD,Posted
TXN-000048,CapitalFromFeeder,2022-09-08,2022-09-08,FUND-AGE-II-OFF,FUND-AGE-II-MAIN,COMM-0007,CCN-00013,12378000.0,Cash & Cash Equivalents,LP Capital Account — Feeder,FUND-AGE-II,USD,Posted
TXN-000049,CapitalCallReceivable,2023-02-10,2023-03-01,INV-0040,FUND-AGE-II-OFF,COMM-0007,CCN-00014,10315000.0,Capital Call Receivable,Capital Contributions Payable,FUND-AGE-II,USD,Posted
TXN-000050,CashReceipt,2023-03-01,2023-03-01,INV-0040,FUND-AGE-II-OFF,COMM-0007,CCN-00014,10315000.0,Cash & Cash Equivalents,Capital Call Receivable,FUND-AGE-II,USD,Posted
TXN-000051,InvestmentInMasterFund,2023-03-02,2023-03-02,FUND-AGE-II-OFF,FUND-AGE-II-MAIN,COMM-0007,CCN-00014,10315000.0,Investment in Master Fund,Cash & Cash Equivalents,FUND-AGE-II,USD,Posted
TXN-000052,CapitalFromFeeder,2023-03-02,2023-03-02,FUND-AGE-II-OFF,FUND-AGE-II-MAIN,COMM-0007,CCN-00014,10315000.0,Cash & Cash Equivalents,LP Capital Account — Feeder,FUND-AGE-II,USD,Posted
TXN-000053,CapitalCallReceivable,2023-08-26,2023-09-11,INV-0023,FUND-ABF-X-OFF,COMM-0008,CCN-00015,132072000.0,Capital Call Receivable,Capital Contributions Payable,FUND-ABF-X,USD,Posted
TXN-000054,CashReceipt,2023-09-11,2023-09-11,INV-0023,FUND-ABF-X-OFF,COMM-0008,CCN-00015,132072000.0,Cash & Cash Equivalents,Capital Call Receivable,FUND-ABF-X,USD,Posted
TXN-000055,InvestmentInMasterFund,2023-09-12,2023-09-12,FUND-ABF-X-OFF,FUND-ABF-X-MAIN,COMM-0008,CCN-00015,132072000.0,Investment in Master Fund,Cash & Cash Equivalents,FUND-ABF-X,USD,Posted
TXN-000056,CapitalFromFeeder,2023-09-12,2023-09-12,FUND-ABF-X-OFF,FUND-ABF-X-MAIN,COMM-0008,CCN-00015,132072000.0,Cash & Cash Equivalents,LP Capital Account — Feeder,FUND-ABF-X,USD,Posted
TXN-000057,CapitalCallReceivable,2024-03-26,2024-04-09,INV-0023,FUND-ABF-X-OFF,COMM-0008,CCN-00016,110060000.0,Capital Call Receivable,Capital Contributions Payable,FUND-ABF-X,USD,Posted
TXN-000058,CashReceipt,2024-04-09,2024-04-09,INV-0023,FUND-ABF-X-OFF,COMM-0008,CCN-00016,110060000.0,Cash & Cash Equivalents,Capital Call Receivable,FUND-ABF-X,USD,Posted
TXN-000059,InvestmentInMasterFund,2024-04-10,2024-04-10,FUND-ABF-X-OFF,FUND-ABF-X-MAIN,COMM-0008,CCN-00016,110060000.0,Investment in Master Fund,Cash & Cash Equivalents,FUND-ABF-X,USD,Posted
TXN-000060,CapitalFromFeeder,2024-04-10,2024-04-10,FUND-ABF-X-OFF,FUND-ABF-X-MAIN,COMM-0008,CCN-00016,110060000.0,Cash & Cash Equivalents,LP Capital Account — Feeder,FUND-ABF-X,USD,Posted
TXN-000061,CapitalCallReceivable,2019-08-18,2019-08-30,INV-0029,FUND-AGE-I-DOM,COMM-0009,CCN-00017,92334000.0,Capital Call Receivable,Capital Contributions Payable,FUND-AGE-I,USD,Posted
TXN-000062,CashReceipt,2019-08-30,2019-08-30,INV-0029,FUND-AGE-I-DOM,COMM-0009,CCN-00017,92334000.0,Cash & Cash Equivalents,Capital Call Receivable,FUND-AGE-I,USD,Posted
TXN-000063,InvestmentInMasterFund,2019-09-02,2019-09-02,FUND-AGE-I-DOM,FUND-AGE-I-MAIN,COMM-0009,CCN-00017,92334000.0,Investment in Master Fund,Cash & Cash Equivalents,FUND-AGE-I,USD,Posted
TXN-000064,CapitalFromFeeder,2019-09-02,2019-09-02,FUND-AGE-I-DOM,FUND-AGE-I-MAIN,COMM-0009,CCN-00017,92334000.0,Cash & Cash Equivalents,LP Capital Account — Feeder,FUND-AGE-I,USD,Posted
TXN-000065,CapitalCallReceivable,2020-05-18,2020-06-22,INV-0029,FUND-AGE-I-DOM,COMM-0009,CCN-00018,76945000.0,Capital Call Receivable,Capital Contributions Payable,FUND-AGE-I,USD,Posted
TXN-000066,CashReceipt,2020-06-22,2020-06-22,INV-0029,FUND-AGE-I-DOM,COMM-0009,CCN-00018,76945000.0,Cash & Cash Equivalents,Capital Call Receivable,FUND-AGE-I,USD,Posted
