valuation_id,company_id,company_name,fund_id,investment_date,cost_usd,valuation_date,currency,fair_value_usd,unrealized_gain_loss_usd,moic,status,exit_date,exit_proceeds_usd
PI-0001,PC-001,TechVision Software Inc.,FUND-ABF-IX,2021-09-30,850000000.0,2021-09-30,USD,892092000.0,42092000.0,1.05,Active,,
PI-0002,PC-001,TechVision Software Inc.,FUND-ABF-IX,2021-09-30,850000000.0,2021-12-31,USD,859532000.0,9532000.0,1.011,Active,,
PI-0003,PC-001,TechVision Software Inc.,FUND-ABF-IX,2021-09-30,850000000.0,2022-03-31,USD,858246000.0,8246000.0,1.01,Active,,
PI-0004,PC-001,TechVision Software Inc.,FUND-ABF-IX,2021-09-30,850000000.0,2022-06-30,USD,850736000.0,736000.0,1.001,Active,,
PI-0005,PC-001,TechVision Software Inc.,FUND-ABF-IX,2021-09-30,850000000.0,2022-09-30,USD,904423000.0,54423000.0,1.064,Active,,
PI-0006,PC-001,TechVision Software Inc.,FUND-ABF-IX,2021-09-30,850000000.0,2022-12-31,USD,953929000.0,103929000.0,1.122,Active,,
PI-0007,PC-001,TechVision Software Inc.,FUND-ABF-IX,2021-09-30,850000000.0,2023-03-31,USD,1034922000.0,184922000.0,1.218,Active,,
PI-0008,PC-001,TechVision Software Inc.,FUND-ABF-IX,2021-09-30,850000000.0,2023-06-30,USD,1006122000.0,156122000.0,1.184,Active,,
PI-0009,PC-001,TechVision Software Inc.,FUND-ABF-IX,2021-09-30,850000000.0,2023-09-30,USD,1025308000.0,175308000.0,1.206,Active,,
PI-0010,PC-001,TechVision Software Inc.,FUND-ABF-IX,2021-09-30,850000000.0,2023-12-31,USD,988573000.0,138573000.0,1.163,Active,,
PI-0011,PC-001,TechVision Software Inc.,FUND-ABF-IX,2021-09-30,850000000.0,2024-03-31,USD,979290000.0,129290000.0,1.152,Active,,
PI-0012,PC-001,TechVision Software Inc.,FUND-ABF-IX,2021-09-30,850000000.0,2024-06-30,USD,1009403000.0,159403000.0,1.188,Active,,
