fee_id,fund_id,fund_name,period,accrual_date,payment_date,fee_base_usd,fee_rate_pct,fee_amount_usd,currency,fee_basis,status
FEE-0001,FUND-ABF-IX,AMC Buyout Fund IX,Q1 2021,2021-03-31,2021-04-07,17000000000.0,1.5,63750000.0,USD,Committed Capital,Paid
FEE-0002,FUND-ABF-IX,AMC Buyout Fund IX,Q2 2021,2021-06-30,2021-07-07,17000000000.0,1.5,63750000.0,USD,Committed Capital,Paid
FEE-0003,FUND-ABF-IX,AMC Buyout Fund IX,Q3 2021,2021-09-30,2021-10-07,17000000000.0,1.5,63750000.0,USD,Committed Capital,Paid
FEE-0004,FUND-ABF-IX,AMC Buyout Fund IX,Q4 2021,2021-12-31,2022-01-07,17000000000.0,1.5,63750000.0,USD,Committed Capital,Paid
FEE-0005,FUND-ABF-IX,AMC Buyout Fund IX,Q1 2022,2022-03-31,2022-04-07,17000000000.0,1.5,63750000.0,USD,Committed Capital,Paid
FEE-0006,FUND-ABF-IX,AMC Buyout Fund IX,Q2 2022,2022-06-30,2022-07-07,17000000000.0,1.5,63750000.0,USD,Committed Capital,Paid
FEE-0007,FUND-ABF-IX,AMC Buyout Fund IX,Q3 2022,2022-09-30,2022-10-07,17000000000.0,1.5,63750000.0,USD,Committed Capital,Paid
FEE-0008,FUND-ABF-IX,AMC Buyout Fund IX,Q4 2022,2022-12-31,2023-01-06,17000000000.0,1.5,63750000.0,USD,Committed Capital,Paid
FEE-0009,FUND-ABF-IX,AMC Buyout Fund IX,Q1 2023,2023-03-31,2023-04-07,17000000000.0,1.5,63750000.0,USD,Committed Capital,Paid
FEE-0010,FUND-ABF-IX,AMC Buyout Fund IX,Q2 2023,2023-06-30,2023-07-07,17000000000.0,1.5,63750000.0,USD,Committed Capital,Paid
FEE-0011,FUND-ABF-IX,AMC Buyout Fund IX,Q3 2023,2023-09-30,2023-10-06,17000000000.0,1.5,63750000.0,USD,Committed Capital,Paid
FEE-0012,FUND-ABF-IX,AMC Buyout Fund IX,Q4 2023,2023-12-31,2024-01-05,17000000000.0,1.5,63750000.0,USD,Committed Capital,Paid
FEE-0013,FUND-ABF-IX,AMC Buyout Fund IX,Q1 2024,2024-03-31,2024-04-05,17000000000.0,1.5,63750000.0,USD,Committed Capital,Paid
FEE-0014,FUND-ABF-IX,AMC Buyout Fund IX,Q2 2024,2024-06-30,2024-07-05,17000000000.0,1.5,63750000.0,USD,Committed Capital,Paid
FEE-0015,FUND-ABF-IX,AMC Buyout Fund IX,Q3 2024,2024-09-30,2024-10-07,17000000000.0,1.5,63750000.0,USD,Committed Capital,Paid
FEE-0016,FUND-ABF-IX,AMC Buyout Fund IX,Q4 2024,2024-12-31,2025-01-07,17000000000.0,1.5,63750000.0,USD,Committed Capital,Paid
FEE-0017,FUND-ABF-IX,AMC Buyout Fund IX,Q1 2025,2025-03-31,2025-04-07,17000000000.0,1.5,63750000.0,USD,Committed Capital,Paid
