notice_id,distribution_id,commitment_id,investor_id,fund_id,distribution_date,payment_date,distribution_type,return_of_capital_usd,income_usd,net_amount_usd,currency,ownership_pct,payment_status,wire_reference
DN-00001,DIST-0001,COMM-0011,INV-0008,FUND-ARA-III,2023-09-30,2023-10-06,Return of Capital + Gain,42692200.0,35068600.0,70747100.0,USD,15.2472,Paid,DIST-WIRE-00001
DN-00002,DIST-0001,COMM-0014,INV-0028,FUND-ARA-III,2023-09-30,2023-10-06,Return of Capital + Gain,3073800.0,2524900.0,5093800.0,USD,1.0978,Paid,DIST-WIRE-00002
DN-00003,DIST-0001,COMM-0015,INV-0017,FUND-ARA-III,2023-09-30,2023-10-06,Return of Capital + Gain,42624600.0,35013000.0,70635000.0,USD,15.2231,Paid,DIST-WIRE-00003
DN-00004,DIST-0001,COMM-0035,INV-0029,FUND-ARA-III,2023-09-30,2023-10-06,Return of Capital + Gain,38903200.0,31956200.0,64468100.0,USD,13.894,Paid,DIST-WIRE-00004
DN-00005,DIST-0001,COMM-0038,INV-0003,FUND-ARA-III,2023-09-30,2023-10-06,Return of Capital + Gain,56393800.0,46323500.0,93452600.0,USD,20.1406,Paid,DIST-WIRE-00005
DN-00006,DIST-0001,COMM-0039,INV-0027,FUND-ARA-III,2023-09-30,2023-10-06,Return of Capital + Gain,41326000.0,33946400.0,68483100.0,USD,14.7593,Paid,DIST-WIRE-00006
DN-00007,DIST-0001,COMM-0059,INV-0015,FUND-ARA-III,2023-09-30,2023-10-06,Return of Capital + Gain,44893800.0,36877100.0,74395500.0,USD,16.0335,Paid,DIST-WIRE-00007
DN-00008,DIST-0001,COMM-0062,INV-0017,FUND-ARA-III,2023-09-30,2023-10-06,Return of Capital + Gain,10092500.0,8290300.0,16724800.0,USD,3.6045,Paid,DIST-WIRE-00008
DN-00009,DIST-0002,COMM-0004,INV-0039,FUND-AGE-I,2023-03-31,2023-04-07,Return of Capital + Gain,13063800.0,19211500.0,28433000.0,USD,15.3692,Paid,DIST-WIRE-00009
DN-00010,DIST-0002,COMM-0009,INV-0029,FUND-AGE-I,2023-03-31,2023-04-07,Return of Capital + Gain,12904100.0,18976600.0,28085300.0,USD,15.1812,Paid,DIST-WIRE-00010
DN-00011,DIST-0002,COMM-0028,INV-0033,FUND-AGE-I,2023-03-31,2023-04-07,Return of Capital + Gain,8203700.0,12064300.0,17855100.0,USD,9.6514,Paid,DIST-WIRE-00011
DN-00012,DIST-0002,COMM-0033,INV-0025,FUND-AGE-I,2023-03-31,2023-04-07,Return of Capital + Gain,12983700.0,19093700.0,28258700.0,USD,15.275,Paid,DIST-WIRE-00012
DN-00013,DIST-0002,COMM-0052,INV-0027,FUND-AGE-I,2023-03-31,2023-04-07,Return of Capital + Gain,10341900.0,15208700.0,22508900.0,USD,12.167,Paid,DIST-WIRE-00013
DN-00014,DIST-0002,COMM-0057,INV-0021,FUND-AGE-I,2023-03-31,2023-04-07,Return of Capital + Gain,16007900.0,23541000.0,34840600.0,USD,18.8328,Paid,DIST-WIRE-00014
DN-00015,DIST-0002,COMM-0076,INV-0026,FUND-AGE-I,2023-03-31,2023-04-07,Return of Capital + Gain,6564400.0,9653500.0,14287200.0,USD,7.7228,Paid,DIST-WIRE-00015
DN-00016,DIST-0002,COMM-0081,INV-0013,FUND-AGE-I,2023-03-31,2023-04-07,Return of Capital + Gain,4930500.0,7250800.0,10731100.0,USD,5.8006,Paid,DIST-WIRE-00016
DN-00017,DIST-0003,COMM-0002,INV-0033,FUND-ABF-IX,2024-06-30,2024-07-05,Partial Realization,60723900.0,12144800.0,70439700.0,USD,17.3497,Paid,DIST-WIRE-00017
DN-00018,DIST-0003,COMM-0017,INV-0003,FUND-ABF-IX,2024-06-30,2024-07-05,Partial Realization,41773700.0,8354700.0,48457500.0,USD,11.9354,Paid,DIST-WIRE-00018
DN-00019,DIST-0003,COMM-0018,INV-0003,FUND-ABF-IX,2024-06-30,2024-07-05,Partial Realization,26416500.0,5283300.0,30643200.0,USD,7.5476,Paid,DIST-WIRE-00019
DN-00020,DIST-0003,COMM-0026,INV-0008,FUND-ABF-IX,2024-06-30,2024-07-05,Partial Realization,13299400.0,2659900.0,15427300.0,USD,3.7998,Paid,DIST-WIRE-00020
DN-00021,DIST-0003,COMM-0041,INV-0015,FUND-ABF-IX,2024-06-30,2024-07-05,Partial Realization,57394400.0,11478900.0,66577500.0,USD,16.3984,Paid,DIST-WIRE-00021
DN-00022,DIST-0003,COMM-0042,INV-0036,FUND-ABF-IX,2024-06-30,2024-07-05,Partial Realization,65386300.0,13077300.0,75848100.0,USD,18.6818,Paid,DIST-WIRE-00022
DN-00023,DIST-0003,COMM-0050,INV-0014,FUND-ABF-IX,2024-06-30,2024-07-05,Partial Realization,28166700.0,5633300.0,32673400.0,USD,8.0476,Paid,DIST-WIRE-00023
DN-00024,DIST-0003,COMM-0065,INV-0020,FUND-ABF-IX,2024-06-30,2024-07-05,Partial Realization,56839000.0,11367800.0,65933200.0,USD,16.2397,Paid,DIST-WIRE-00024
DN-00025,DIST-0004,COMM-0005,INV-0014,FUND-ACO-IV,2024-03-31,2024-04-05,Income Distribution,11305300.0,1413200.0,12435800.0,USD,7.0658,Paid,DIST-WIRE-00025
DN-00026,DIST-0004,COMM-0021,INV-0012,FUND-ACO-IV,2024-03-31,2024-04-05,Income Distribution,36011700.0,4501500.0,39612900.0,USD,22.5073,Paid,DIST-WIRE-00026
DN-00027,DIST-0004,COMM-0029,INV-0003,FUND-ACO-IV,2024-03-31,2024-04-05,Income Distribution,536100.0,67000.0,589700.0,USD,0.3351,Paid,DIST-WIRE-00027
DN-00028,DIST-0004,COMM-0045,INV-0016,FUND-ACO-IV,2024-03-31,2024-04-05,Income Distribution,35258900.0,4407400.0,38784800.0,USD,22.0368,Paid,DIST-WIRE-00028
DN-00029,DIST-0004,COMM-0053,INV-0002,FUND-ACO-IV,2024-03-31,2024-04-05,Income Distribution,15732900.0,1966600.0,17306100.0,USD,9.833,Paid,DIST-WIRE-00029
DN-00030,DIST-0004,COMM-0069,INV-0035,FUND-ACO-IV,2024-03-31,2024-04-05,Income Distribution,21583300.0,2697900.0,23741700.0,USD,13.4896,Paid,DIST-WIRE-00030
DN-00031,DIST-0004,COMM-0077,INV-0036,FUND-ACO-IV,2024-03-31,2024-04-05,Income Distribution,19794100.0,2474300.0,21773500.0,USD,12.3713,Paid,DIST-WIRE-00031
DN-00032,DIST-0004,COMM-0093,INV-0038,FUND-ACO-IV,2024-03-31,2024-04-05,Income Distribution,19777600.0,2472200.0,21755400.0,USD,12.361,Paid,DIST-WIRE-00032
DN-00033,DIST-0005,COMM-0003,INV-0016,FUND-AIP-II,2024-09-30,2024-10-07,Partial Realization,8736300.0,1191300.0,9689300.0,USD,3.971,Paid,DIST-WIRE-00033
DN-00034,DIST-0005,COMM-0022,INV-0011,FUND-AIP-II,2024-09-30,2024-10-07,Partial Realization,26390800.0,3598700.0,29269800.0,USD,11.9958,Paid,DIST-WIRE-00034
DN-00035,DIST-0005,COMM-0027,INV-0039,FUND-AIP-II,2024-09-30,2024-10-07,Partial Realization,23914100.0,3261000.0,26523000.0,USD,10.8701,Paid,DIST-WIRE-00035
DN-00036,DIST-0005,COMM-0046,INV-0016,FUND-AIP-II,2024-09-30,2024-10-07,Partial Realization,30244300.0,4124200.0,33543700.0,USD,13.7474,Paid,DIST-WIRE-00036
DN-00037,DIST-0005,COMM-0051,INV-0025,FUND-AIP-II,2024-09-30,2024-10-07,Partial Realization,1075400.0,146600.0,1192700.0,USD,0.4888,Paid,DIST-WIRE-00037
DN-00038,DIST-0005,COMM-0070,INV-0016,FUND-AIP-II,2024-09-30,2024-10-07,Partial Realization,19426500.0,2649100.0,21545800.0,USD,8.8302,Paid,DIST-WIRE-00038
DN-00039,DIST-0005,COMM-0075,INV-0032,FUND-AIP-II,2024-09-30,2024-10-07,Partial Realization,53973800.0,7360100.0,59861900.0,USD,24.5336,Paid,DIST-WIRE-00039
DN-00040,DIST-0005,COMM-0094,INV-0010,FUND-AIP-II,2024-09-30,2024-10-07,Partial Realization,56238700.0,7668900.0,62373800.0,USD,25.563,Paid,DIST-WIRE-00040
