roll_id,commitment_id,investor_id,fund_id,period,beginning_balance_usd,contributions_usd,allocated_income_usd,management_fee_alloc_usd,distributions_usd,ending_balance_usd,currency,as_of_date
ROLL-00001,COMM-0001,INV-0021,FUND-ACO-V,CC1 2023-08,0.0,8946000.0,178920.0,33547.5,0,9091372.5,USD,2023-08-25
ROLL-00002,COMM-0001,INV-0021,FUND-ACO-V,CC2 2024-01,9091372.5,7455000.0,149100.0,27956.25,0,16667516.25,USD,2024-02-09
ROLL-00003,COMM-0002,INV-0033,FUND-ABF-IX,CC2 2021-11,0.0,106602500.0,2132050.0,399759.38,0,108334790.62,USD,2021-12-14
ROLL-00004,COMM-0003,INV-0016,FUND-AIP-II,CC1 2021-08,0.0,19302000.0,386040.0,72382.5,0,19615657.5,USD,2021-09-08
ROLL-00005,COMM-0003,INV-0016,FUND-AIP-II,CC2 2022-05,19615657.5,16085000.0,321700.0,60318.75,0,35962038.75,USD,2022-05-17
ROLL-00006,COMM-0004,INV-0039,FUND-AGE-I,CC1 2019-08,0.0,93477000.0,1869540.0,350538.75,0,94996001.25,USD,2019-08-30
ROLL-00007,COMM-0004,INV-0039,FUND-AGE-I,CC2 2020-05,94996001.25,77897500.0,1557950.0,292115.62,0,174159335.63,USD,2020-06-03
ROLL-00008,COMM-0005,INV-0014,FUND-ACO-IV,CC1 2021-08,0.0,36945000.0,738900.0,138543.75,0,37545356.25,USD,2021-08-31
ROLL-00009,COMM-0005,INV-0014,FUND-ACO-IV,CC2 2022-02,37545356.25,30787500.0,615750.0,115453.12,0,68833153.13,USD,2022-03-09
ROLL-00010,COMM-0006,INV-0020,FUND-AGE-II,CC1 2022-08,0.0,48453000.0,969060.0,181698.75,0,49240361.25,USD,2022-09-08
ROLL-00011,COMM-0006,INV-0020,FUND-AGE-II,CC2 2023-02,49240361.25,40377500.0,807550.0,151415.62,0,90273995.63,USD,2023-02-24
ROLL-00012,COMM-0007,INV-0040,FUND-AGE-II,CC1 2022-08,0.0,12378000.0,247560.0,46417.5,0,12579142.5,USD,2022-09-07
ROLL-00013,COMM-0007,INV-0040,FUND-AGE-II,CC2 2023-02,12579142.5,10315000.0,206300.0,38681.25,0,23061761.25,USD,2023-03-01
ROLL-00014,COMM-0008,INV-0023,FUND-ABF-X,CC1 2023-08,0.0,132072000.0,2641440.0,495270.0,0,134218170.0,USD,2023-09-11
ROLL-00015,COMM-0008,INV-0023,FUND-ABF-X,CC2 2024-03,134218170.0,110060000.0,2201200.0,412725.0,0,246066645.0,USD,2024-04-09
ROLL-00016,COMM-0009,INV-0029,FUND-AGE-I,CC1 2019-08,0.0,92334000.0,1846680.0,346252.5,0,93834427.5,USD,2019-08-30
ROLL-00017,COMM-0009,INV-0029,FUND-AGE-I,CC2 2020-05,93834427.5,76945000.0,1538900.0,288543.75,0,172029783.75,USD,2020-06-22
ROLL-00018,COMM-0010,INV-0036,FUND-ABF-X,CC1 2023-08,0.0,139866000.0,2797320.0,524497.5,0,142138822.5,USD,2023-09-21
ROLL-00019,COMM-0010,INV-0036,FUND-ABF-X,CC2 2024-03,142138822.5,116555000.0,2331100.0,437081.25,0,260587841.25,USD,2024-04-12
ROLL-00020,COMM-0011,INV-0008,FUND-ARA-III,CC1 2020-07,0.0,111750000.0,2235000.0,419062.5,0,113565937.5,USD,2020-07-17
ROLL-00021,COMM-0011,INV-0008,FUND-ARA-III,CC2 2020-11,113565937.5,93125000.0,1862500.0,349218.75,0,208204218.75,USD,2020-11-23
ROLL-00022,COMM-0012,INV-0039,FUND-AIP-III,CC1 2023-08,0.0,108066000.0,2161320.0,405247.5,0,109822072.5,USD,2023-08-24
ROLL-00023,COMM-0012,INV-0039,FUND-AIP-III,CC2 2023-11,109822072.5,90055000.0,1801100.0,337706.25,0,201340466.25,USD,2023-12-27
ROLL-00024,COMM-0013,INV-0032,FUND-ACO-V,CC1 2023-08,0.0,135942000.0,2718840.0,509782.5,0,138151057.5,USD,2023-08-24
ROLL-00025,COMM-0013,INV-0032,FUND-ACO-V,CC2 2024-01,138151057.5,113285000.0,2265700.0,424818.75,0,253276938.75,USD,2024-02-09
ROLL-00026,COMM-0014,INV-0028,FUND-ARA-III,CC1 2020-07,0.0,8046000.0,160920.0,30172.5,0,8176747.5,USD,2020-07-20
ROLL-00027,COMM-0014,INV-0028,FUND-ARA-III,CC2 2020-11,8176747.5,6705000.0,134100.0,25143.75,0,14990703.75,USD,2020-11-25
ROLL-00028,COMM-0015,INV-0017,FUND-ARA-III,CC1 2020-07,0.0,111573000.0,2231460.0,418398.75,0,113386061.25,USD,2020-07-17
ROLL-00029,COMM-0015,INV-0017,FUND-ARA-III,CC2 2020-11,113386061.25,92977500.0,1859550.0,348665.62,0,207874445.63,USD,2020-11-25
ROLL-00030,COMM-0016,INV-0001,FUND-AIP-III,CC1 2023-08,0.0,12675000.0,253500.0,47531.25,0,12880968.75,USD,2023-08-24
ROLL-00031,COMM-0018,INV-0003,FUND-ABF-IX,CC1 2021-08,0.0,55650000.0,1113000.0,208687.5,0,56554312.5,USD,2021-08-20
ROLL-00032,COMM-0018,INV-0003,FUND-ABF-IX,CC2 2021-11,56554312.5,46375000.0,927500.0,173906.25,0,103682906.25,USD,2021-12-15
ROLL-00033,COMM-0019,INV-0016,FUND-ARA-IV,CC1 2022-07,0.0,54021000.0,1080420.0,202578.75,0,54898841.25,USD,2022-08-01
ROLL-00034,COMM-0019,INV-0016,FUND-ARA-IV,CC2 2023-04,54898841.25,45017500.0,900350.0,168815.62,0,100647875.63,USD,2023-05-03
ROLL-00035,COMM-0020,INV-0010,FUND-ABF-X,CC1 2023-08,0.0,129894000.0,2597880.0,487102.5,0,132004777.5,USD,2023-09-08
ROLL-00036,COMM-0020,INV-0010,FUND-ABF-X,CC2 2024-03,132004777.5,108245000.0,2164900.0,405918.75,0,242008758.75,USD,2024-04-12
ROLL-00037,COMM-0021,INV-0012,FUND-ACO-IV,CC1 2021-08,0.0,117684000.0,2353680.0,441315.0,0,119596365.0,USD,2021-09-03
ROLL-00038,COMM-0021,INV-0012,FUND-ACO-IV,CC2 2022-02,119596365.0,98070000.0,1961400.0,367762.5,0,219260002.5,USD,2022-03-04
ROLL-00039,COMM-0022,INV-0011,FUND-AIP-II,CC1 2021-08,0.0,58308000.0,1166160.0,218655.0,0,59255505.0,USD,2021-09-16
ROLL-00040,COMM-0022,INV-0011,FUND-AIP-II,CC2 2022-05,59255505.0,48590000.0,971800.0,182212.5,0,108635092.5,USD,2022-05-13
ROLL-00041,COMM-0023,INV-0013,FUND-ARA-IV,CC1 2022-07,0.0,53424000.0,1068480.0,200340.0,0,54292140.0,USD,2022-08-03
ROLL-00042,COMM-0023,INV-0013,FUND-ARA-IV,CC2 2023-04,54292140.0,44520000.0,890400.0,166950.0,0,99535590.0,USD,2023-05-01
ROLL-00043,COMM-0024,INV-0013,FUND-ARA-IV,CC1 2022-07,0.0,50247000.0,1004940.0,188426.25,0,51063513.75,USD,2022-08-02
ROLL-00044,COMM-0024,INV-0013,FUND-ARA-IV,CC2 2023-04,51063513.75,41872500.0,837450.0,157021.88,0,93616441.87,USD,2023-05-04
ROLL-00045,COMM-0025,INV-0033,FUND-ACO-V,CC1 2023-08,0.0,102408000.0,2048160.0,384030.0,0,104072130.0,USD,2023-08-22
ROLL-00046,COMM-0025,INV-0033,FUND-ACO-V,CC2 2024-01,104072130.0,85340000.0,1706800.0,320025.0,0,190798905.0,USD,2024-02-07
ROLL-00047,COMM-0026,INV-0008,FUND-ABF-IX,CC1 2021-08,0.0,28017000.0,560340.0,105063.75,0,28472276.25,USD,2021-08-25
ROLL-00048,COMM-0026,INV-0008,FUND-ABF-IX,CC2 2021-11,28472276.25,23347500.0,466950.0,87553.12,0,52199173.13,USD,2021-12-14
ROLL-00049,COMM-0027,INV-0039,FUND-AIP-II,CC1 2021-08,0.0,52836000.0,1056720.0,198135.0,0,53694585.0,USD,2021-09-27
ROLL-00050,COMM-0027,INV-0039,FUND-AIP-II,CC2 2022-05,53694585.0,44030000.0,880600.0,165112.5,0,98440072.5,USD,2022-05-18
ROLL-00051,COMM-0028,INV-0033,FUND-AGE-I,CC1 2019-08,0.0,58701000.0,1174020.0,220128.75,0,59654891.25,USD,2019-09-04
