fund_id,fund_name,fund_type,share_class,cusip,isin,product_code,dist_frequency,tender_pct_limit,tender_months,min_investment_usd,front_load_pct,mgmt_fee_pct,dist_fee_12b1_pct,dealer_comm_pct,under_comm_pct,nscc_eligible,reg_d_filing,sec_registration
AMCECF,AMC Evergreen Credit Fund,INTERVAL,A,00827B101,US00827B101,ADCRE,QUARTERLY,5,"[3, 6, 9, 12]",2500,5.75,1.25,0.25,5.0,0.75,Y,N,Y
AMCECF,AMC Evergreen Credit Fund,INTERVAL,I,00827B200,US00827B200,ADCRE,QUARTERLY,5,"[3, 6, 9, 12]",100000,0.0,1.0,0.0,0.0,0.0,Y,N,Y
AMCECF,AMC Evergreen Credit Fund,INTERVAL,W,00827B309,US00827B309,ADCRE,QUARTERLY,5,"[3, 6, 9, 12]",25000,0.0,1.1,0.25,0.0,0.0,Y,N,Y
AMCRAI,AMC Real Assets Income Fund,NT_REIT,A,00827C101,US00827C101,ADREF,MONTHLY,5,"[3, 6, 9, 12]",2500,5.75,1.25,0.25,5.0,0.75,Y,N,Y
AMCRAI,AMC Real Assets Income Fund,NT_REIT,I,00827C200,US00827C200,ADREF,MONTHLY,5,"[3, 6, 9, 12]",100000,0.0,1.0,0.0,0.0,0.0,Y,N,Y
AMCRAI,AMC Real Assets Income Fund,NT_REIT,W,00827C309,US00827C309,ADREF,MONTHLY,5,"[3, 6, 9, 12]",25000,0.0,1.1,0.25,0.0,0.0,Y,N,Y
AMCPCI,AMC Private Credit Interval Fund,INTERVAL,A,00827D101,US00827D101,ADPEC,QUARTERLY,5,"[3, 6, 9, 12]",2500,5.75,1.25,0.25,5.0,0.75,Y,N,Y
AMCPCI,AMC Private Credit Interval Fund,INTERVAL,I,00827D200,US00827D200,ADPEC,QUARTERLY,5,"[3, 6, 9, 12]",100000,0.0,1.0,0.0,0.0,0.0,Y,N,Y
AMCPCI,AMC Private Credit Interval Fund,INTERVAL,W,00827D309,US00827D309,ADPEC,QUARTERLY,5,"[3, 6, 9, 12]",25000,0.0,1.1,0.25,0.0,0.0,Y,N,Y
AMCMSA,AMC Multi-Strategy Alts Fund,TENDER_OFFER,A,00827E101,US00827E101,ADPE,QUARTERLY,5,"[3, 6, 9, 12]",2500,5.75,1.25,0.25,5.0,0.75,Y,N,Y
AMCMSA,AMC Multi-Strategy Alts Fund,TENDER_OFFER,I,00827E200,US00827E200,ADPE,QUARTERLY,5,"[3, 6, 9, 12]",100000,0.0,1.0,0.0,0.0,0.0,Y,N,Y
AMCMSA,AMC Multi-Strategy Alts Fund,TENDER_OFFER,W,00827E309,US00827E309,ADPE,QUARTERLY,5,"[3, 6, 9, 12]",25000,0.0,1.1,0.25,0.0,0.0,Y,N,Y
