nav_date,fund_id,fund_name,fund_type,share_class,cusip,isin,nav_per_share,product_code,dist_frequency,tender_pct_limit
2024-01-02,AMCECF,AMC Evergreen Credit Fund,INTERVAL,A,00827B101,US00827B101,10.9074,ADCRE,QUARTERLY,5
2024-01-02,AMCECF,AMC Evergreen Credit Fund,INTERVAL,I,00827B200,US00827B200,10.9074,ADCRE,QUARTERLY,5
2024-01-02,AMCECF,AMC Evergreen Credit Fund,INTERVAL,W,00827B309,US00827B309,10.9074,ADCRE,QUARTERLY,5
2024-01-03,AMCECF,AMC Evergreen Credit Fund,INTERVAL,A,00827B101,US00827B101,10.9603,ADCRE,QUARTERLY,5
2024-01-03,AMCECF,AMC Evergreen Credit Fund,INTERVAL,I,00827B200,US00827B200,10.9603,ADCRE,QUARTERLY,5
2024-01-03,AMCECF,AMC Evergreen Credit Fund,INTERVAL,W,00827B309,US00827B309,10.9603,ADCRE,QUARTERLY,5
2024-01-04,AMCECF,AMC Evergreen Credit Fund,INTERVAL,A,00827B101,US00827B101,11.0355,ADCRE,QUARTERLY,5
2024-01-04,AMCECF,AMC Evergreen Credit Fund,INTERVAL,I,00827B200,US00827B200,11.0355,ADCRE,QUARTERLY,5
2024-01-04,AMCECF,AMC Evergreen Credit Fund,INTERVAL,W,00827B309,US00827B309,11.0355,ADCRE,QUARTERLY,5
2024-01-05,AMCECF,AMC Evergreen Credit Fund,INTERVAL,A,00827B101,US00827B101,11.0684,ADCRE,QUARTERLY,5
2024-01-05,AMCECF,AMC Evergreen Credit Fund,INTERVAL,I,00827B200,US00827B200,11.0684,ADCRE,QUARTERLY,5
2024-01-05,AMCECF,AMC Evergreen Credit Fund,INTERVAL,W,00827B309,US00827B309,11.0684,ADCRE,QUARTERLY,5
2024-01-08,AMCECF,AMC Evergreen Credit Fund,INTERVAL,A,00827B101,US00827B101,11.1341,ADCRE,QUARTERLY,5
2024-01-08,AMCECF,AMC Evergreen Credit Fund,INTERVAL,I,00827B200,US00827B200,11.1341,ADCRE,QUARTERLY,5
2024-01-08,AMCECF,AMC Evergreen Credit Fund,INTERVAL,W,00827B309,US00827B309,11.1341,ADCRE,QUARTERLY,5
2024-01-09,AMCECF,AMC Evergreen Credit Fund,INTERVAL,A,00827B101,US00827B101,11.1572,ADCRE,QUARTERLY,5
2024-01-09,AMCECF,AMC Evergreen Credit Fund,INTERVAL,I,00827B200,US00827B200,11.1572,ADCRE,QUARTERLY,5
2024-01-09,AMCECF,AMC Evergreen Credit Fund,INTERVAL,W,00827B309,US00827B309,11.1572,ADCRE,QUARTERLY,5
2024-01-10,AMCECF,AMC Evergreen Credit Fund,INTERVAL,A,00827B101,US00827B101,11.1923,ADCRE,QUARTERLY,5
2024-01-10,AMCECF,AMC Evergreen Credit Fund,INTERVAL,I,00827B200,US00827B200,11.1923,ADCRE,QUARTERLY,5
2024-01-10,AMCECF,AMC Evergreen Credit Fund,INTERVAL,W,00827B309,US00827B309,11.1923,ADCRE,QUARTERLY,5
2024-01-11,AMCECF,AMC Evergreen Credit Fund,INTERVAL,A,00827B101,US00827B101,11.2016,ADCRE,QUARTERLY,5
2024-01-11,AMCECF,AMC Evergreen Credit Fund,INTERVAL,I,00827B200,US00827B200,11.2016,ADCRE,QUARTERLY,5
2024-01-11,AMCECF,AMC Evergreen Credit Fund,INTERVAL,W,00827B309,US00827B309,11.2016,ADCRE,QUARTERLY,5
2024-01-12,AMCECF,AMC Evergreen Credit Fund,INTERVAL,A,00827B101,US00827B101,11.1959,ADCRE,QUARTERLY,5
2024-01-12,AMCECF,AMC Evergreen Credit Fund,INTERVAL,I,00827B200,US00827B200,11.1959,ADCRE,QUARTERLY,5
2024-01-12,AMCECF,AMC Evergreen Credit Fund,INTERVAL,W,00827B309,US00827B309,11.1959,ADCRE,QUARTERLY,5
2024-01-15,AMCECF,AMC Evergreen Credit Fund,INTERVAL,A,00827B101,US00827B101,11.2532,ADCRE,QUARTERLY,5
2024-01-15,AMCECF,AMC Evergreen Credit Fund,INTERVAL,I,00827B200,US00827B200,11.2532,ADCRE,QUARTERLY,5
2024-01-15,AMCECF,AMC Evergreen Credit Fund,INTERVAL,W,00827B309,US00827B309,11.2532,ADCRE,QUARTERLY,5
2024-01-02,AMCRAI,AMC Real Assets Income Fund,NT_REIT,A,00827C101,US00827C101,12.4762,ADREF,MONTHLY,5
2024-01-02,AMCRAI,AMC Real Assets Income Fund,NT_REIT,I,00827C200,US00827C200,12.4762,ADREF,MONTHLY,5
2024-01-02,AMCRAI,AMC Real Assets Income Fund,NT_REIT,W,00827C309,US00827C309,12.4762,ADREF,MONTHLY,5
2024-01-03,AMCRAI,AMC Real Assets Income Fund,NT_REIT,A,00827C101,US00827C101,12.536,ADREF,MONTHLY,5
2024-01-03,AMCRAI,AMC Real Assets Income Fund,NT_REIT,I,00827C200,US00827C200,12.536,ADREF,MONTHLY,5
2024-01-03,AMCRAI,AMC Real Assets Income Fund,NT_REIT,W,00827C309,US00827C309,12.536,ADREF,MONTHLY,5
2024-01-04,AMCRAI,AMC Real Assets Income Fund,NT_REIT,A,00827C101,US00827C101,12.5292,ADREF,MONTHLY,5
2024-01-04,AMCRAI,AMC Real Assets Income Fund,NT_REIT,I,00827C200,US00827C200,12.5292,ADREF,MONTHLY,5
2024-01-04,AMCRAI,AMC Real Assets Income Fund,NT_REIT,W,00827C309,US00827C309,12.5292,ADREF,MONTHLY,5
2024-01-05,AMCRAI,AMC Real Assets Income Fund,NT_REIT,A,00827C101,US00827C101,12.579,ADREF,MONTHLY,5
2024-01-05,AMCRAI,AMC Real Assets Income Fund,NT_REIT,I,00827C200,US00827C200,12.579,ADREF,MONTHLY,5
2024-01-05,AMCRAI,AMC Real Assets Income Fund,NT_REIT,W,00827C309,US00827C309,12.579,ADREF,MONTHLY,5
2024-01-08,AMCRAI,AMC Real Assets Income Fund,NT_REIT,A,00827C101,US00827C101,12.607,ADREF,MONTHLY,5
2024-01-08,AMCRAI,AMC Real Assets Income Fund,NT_REIT,I,00827C200,US00827C200,12.607,ADREF,MONTHLY,5
2024-01-08,AMCRAI,AMC Real Assets Income Fund,NT_REIT,W,00827C309,US00827C309,12.607,ADREF,MONTHLY,5
2024-01-09,AMCRAI,AMC Real Assets Income Fund,NT_REIT,A,00827C101,US00827C101,12.6502,ADREF,MONTHLY,5
2024-01-09,AMCRAI,AMC Real Assets Income Fund,NT_REIT,I,00827C200,US00827C200,12.6502,ADREF,MONTHLY,5
2024-01-09,AMCRAI,AMC Real Assets Income Fund,NT_REIT,W,00827C309,US00827C309,12.6502,ADREF,MONTHLY,5
2024-01-10,AMCRAI,AMC Real Assets Income Fund,NT_REIT,A,00827C101,US00827C101,12.6474,ADREF,MONTHLY,5
2024-01-10,AMCRAI,AMC Real Assets Income Fund,NT_REIT,I,00827C200,US00827C200,12.6474,ADREF,MONTHLY,5
2024-01-10,AMCRAI,AMC Real Assets Income Fund,NT_REIT,W,00827C309,US00827C309,12.6474,ADREF,MONTHLY,5
2024-01-11,AMCRAI,AMC Real Assets Income Fund,NT_REIT,A,00827C101,US00827C101,12.6562,ADREF,MONTHLY,5
2024-01-11,AMCRAI,AMC Real Assets Income Fund,NT_REIT,I,00827C200,US00827C200,12.6562,ADREF,MONTHLY,5
2024-01-11,AMCRAI,AMC Real Assets Income Fund,NT_REIT,W,00827C309,US00827C309,12.6562,ADREF,MONTHLY,5
2024-01-12,AMCRAI,AMC Real Assets Income Fund,NT_REIT,A,00827C101,US00827C101,12.6189,ADREF,MONTHLY,5
2024-01-12,AMCRAI,AMC Real Assets Income Fund,NT_REIT,I,00827C200,US00827C200,12.6189,ADREF,MONTHLY,5
2024-01-12,AMCRAI,AMC Real Assets Income Fund,NT_REIT,W,00827C309,US00827C309,12.6189,ADREF,MONTHLY,5
2024-01-15,AMCRAI,AMC Real Assets Income Fund,NT_REIT,A,00827C101,US00827C101,12.6546,ADREF,MONTHLY,5
2024-01-15,AMCRAI,AMC Real Assets Income Fund,NT_REIT,I,00827C200,US00827C200,12.6546,ADREF,MONTHLY,5
2024-01-15,AMCRAI,AMC Real Assets Income Fund,NT_REIT,W,00827C309,US00827C309,12.6546,ADREF,MONTHLY,5
2024-01-02,AMCPCI,AMC Private Credit Interval Fund,INTERVAL,A,00827D101,US00827D101,10.1803,ADPEC,QUARTERLY,5
2024-01-02,AMCPCI,AMC Private Credit Interval Fund,INTERVAL,I,00827D200,US00827D200,10.1803,ADPEC,QUARTERLY,5
2024-01-02,AMCPCI,AMC Private Credit Interval Fund,INTERVAL,W,00827D309,US00827D309,10.1803,ADPEC,QUARTERLY,5
2024-01-03,AMCPCI,AMC Private Credit Interval Fund,INTERVAL,A,00827D101,US00827D101,10.1765,ADPEC,QUARTERLY,5
2024-01-03,AMCPCI,AMC Private Credit Interval Fund,INTERVAL,I,00827D200,US00827D200,10.1765,ADPEC,QUARTERLY,5
2024-01-03,AMCPCI,AMC Private Credit Interval Fund,INTERVAL,W,00827D309,US00827D309,10.1765,ADPEC,QUARTERLY,5
2024-01-04,AMCPCI,AMC Private Credit Interval Fund,INTERVAL,A,00827D101,US00827D101,10.2089,ADPEC,QUARTERLY,5
2024-01-04,AMCPCI,AMC Private Credit Interval Fund,INTERVAL,I,00827D200,US00827D200,10.2089,ADPEC,QUARTERLY,5
2024-01-04,AMCPCI,AMC Private Credit Interval Fund,INTERVAL,W,00827D309,US00827D309,10.2089,ADPEC,QUARTERLY,5
2024-01-05,AMCPCI,AMC Private Credit Interval Fund,INTERVAL,A,00827D101,US00827D101,10.2629,ADPEC,QUARTERLY,5
2024-01-05,AMCPCI,AMC Private Credit Interval Fund,INTERVAL,I,00827D200,US00827D200,10.2629,ADPEC,QUARTERLY,5
2024-01-05,AMCPCI,AMC Private Credit Interval Fund,INTERVAL,W,00827D309,US00827D309,10.2629,ADPEC,QUARTERLY,5
2024-01-08,AMCPCI,AMC Private Credit Interval Fund,INTERVAL,A,00827D101,US00827D101,10.2841,ADPEC,QUARTERLY,5
2024-01-08,AMCPCI,AMC Private Credit Interval Fund,INTERVAL,I,00827D200,US00827D200,10.2841,ADPEC,QUARTERLY,5
2024-01-08,AMCPCI,AMC Private Credit Interval Fund,INTERVAL,W,00827D309,US00827D309,10.2841,ADPEC,QUARTERLY,5
2024-01-09,AMCPCI,AMC Private Credit Interval Fund,INTERVAL,A,00827D101,US00827D101,10.2827,ADPEC,QUARTERLY,5
2024-01-09,AMCPCI,AMC Private Credit Interval Fund,INTERVAL,I,00827D200,US00827D200,10.2827,ADPEC,QUARTERLY,5
2024-01-09,AMCPCI,AMC Private Credit Interval Fund,INTERVAL,W,00827D309,US00827D309,10.2827,ADPEC,QUARTERLY,5
2024-01-10,AMCPCI,AMC Private Credit Interval Fund,INTERVAL,A,00827D101,US00827D101,10.2465,ADPEC,QUARTERLY,5
2024-01-10,AMCPCI,AMC Private Credit Interval Fund,INTERVAL,I,00827D200,US00827D200,10.2465,ADPEC,QUARTERLY,5
2024-01-10,AMCPCI,AMC Private Credit Interval Fund,INTERVAL,W,00827D309,US00827D309,10.2465,ADPEC,QUARTERLY,5
2024-01-11,AMCPCI,AMC Private Credit Interval Fund,INTERVAL,A,00827D101,US00827D101,10.3131,ADPEC,QUARTERLY,5
2024-01-11,AMCPCI,AMC Private Credit Interval Fund,INTERVAL,I,00827D200,US00827D200,10.3131,ADPEC,QUARTERLY,5
2024-01-11,AMCPCI,AMC Private Credit Interval Fund,INTERVAL,W,00827D309,US00827D309,10.3131,ADPEC,QUARTERLY,5
2024-01-12,AMCPCI,AMC Private Credit Interval Fund,INTERVAL,A,00827D101,US00827D101,10.3271,ADPEC,QUARTERLY,5
2024-01-12,AMCPCI,AMC Private Credit Interval Fund,INTERVAL,I,00827D200,US00827D200,10.3271,ADPEC,QUARTERLY,5
2024-01-12,AMCPCI,AMC Private Credit Interval Fund,INTERVAL,W,00827D309,US00827D309,10.3271,ADPEC,QUARTERLY,5
2024-01-15,AMCPCI,AMC Private Credit Interval Fund,INTERVAL,A,00827D101,US00827D101,10.3839,ADPEC,QUARTERLY,5
2024-01-15,AMCPCI,AMC Private Credit Interval Fund,INTERVAL,I,00827D200,US00827D200,10.3839,ADPEC,QUARTERLY,5
2024-01-15,AMCPCI,AMC Private Credit Interval Fund,INTERVAL,W,00827D309,US00827D309,10.3839,ADPEC,QUARTERLY,5
2024-01-02,AMCMSA,AMC Multi-Strategy Alts Fund,TENDER_OFFER,A,00827E101,US00827E101,11.7165,ADPE,QUARTERLY,5
2024-01-02,AMCMSA,AMC Multi-Strategy Alts Fund,TENDER_OFFER,I,00827E200,US00827E200,11.7165,ADPE,QUARTERLY,5
