broker_id,broker_name,firm_id,settlement_method,platform_code
LPL,LPL Financial LLC,0000LPL001,NSCC,LPLF
MER,Merrill Lynch,0000MER001,NSCC,MLCO
MS,Morgan Stanley,0000MOR001,NSCC,MSSB
UBS,UBS Financial,0000UBS001,NSCC,UBSW
RJ,Raymond James,0000RAJ001,NSCC,RJFS
FIDO,Fidelity,0000FID001,NSCC,FMCO
SCHW,Schwab,0000SCH001,NSCC,SCHW
ICAP,iCapital,0000ICA001,DIRECT,ICAP
CAIS,CAIS,0000CAI001,DIRECT,CAIS
NPC,National Planning Corp,0000NPC001,NSCC,NATL
CETA,Cetera Advisors,0000CET001,NSCC,CETA
VSR,VSR Financial,0000VSR001,NSCC,VSRF
OSAIC,Osaic Wealth,0000OSA001,NSCC,OSAI
SII,SII Investments,0000SII001,NSCC,SIII
CNTS,Centaurus Financial,0000CNT001,NSCC,CNTS
