office_id,broker_id,firm_id,office_name,office_type,address_street,address_city,address_state,address_zip,phone,manager_name,active
10395,ICAP,0000ICA001,60 E 42nd St — San Diego Branch,Satellite,4013 Broadway,San Diego,CA,28289,954-304-9935,Michael Robinson,Y
10455,MS,0000MOR001,1585 Broadway — Kansas City Branch,Branch,1536 Broadway,Kansas City,MO,40495,717-816-1434,Karen Miller,Y
10583,LPL,0000LPL001,4707 Executive Dr — Raleigh Complex,Regional HQ,7360 Executive Pkwy,Raleigh,NC,46463,206-977-3615,Susan Anderson,Y
10679,MER,0000MER001,One Bryant Park — Minneapolis Regional HQ,Regional HQ,5515 Park Ave,Minneapolis,MN,22156,589-299-6881,Barbara Lewis,Y
11044,CNTS,0000CNT001,29 Sawyer Rd — Miami Branch,Complex,8786 Park Ave,Miami,FL,59615,280-765-5803,Nancy Thomas,Y
11220,MS,0000MOR001,1585 Broadway — Hartford Regional HQ,Branch,751 Corporate Dr,Hartford,CT,39871,991-496-2307,Jennifer Brown,Y
11581,MER,0000MER001,One Bryant Park — Pittsburgh Satellite,Complex,5978 Market St,Pittsburgh,PA,58520,563-414-5374,Michael Lewis,Y
11620,CNTS,0000CNT001,29 Sawyer Rd — Austin Private Wealth Center,Regional HQ,2678 Commerce Dr,Austin,TX,59735,476-855-4598,Richard Johnson,Y
11846,FIDO,0000FID001,900 Salem St — Charlotte Branch,Satellite,6573 Oak Ave,Charlotte,NC,18675,416-780-6155,Robert Martin,Y
11854,SII,0000SII001,501 N Broadway — Cincinnati Complex,Regional HQ,4340 Market St,Cincinnati,OH,42325,962-774-9830,William Robinson,Y
12052,NPC,0000NPC001,3200 E Camelback Rd — Kansas City Private Wealth Center,Complex,5931 Broadway,Kansas City,MO,28131,721-705-2489,Sarah Brown,Y
12125,FIDO,0000FID001,900 Salem St — Boston Regional HQ,Complex,9772 Park Ave,Boston,MA,60432,590-810-8668,Charles Wilson,Y
