golden_team_id,src_a_id,src_b_id,src_c_id
GT0000001,,SRB0000001,
GT0000002,SRA0000001,SRB0000002,SRC0000001
GT0000003,,SRB0000003,
GT0000004,SRA0000002,SRB0000004,
GT0000005,,SRB0000005,SRC0000002
GT0000006,SRA0000003,,
GT0000007,SRA0000004,SRB0000006,
GT0000008,SRA0000005,SRB0000007,SRC0000003
GT0000009,SRA0000006,SRB0000008,
GT0000010,SRA0000007,SRB0000009,SRC0000004
GT0000011,SRA0000008,SRB0000010,
GT0000012,SRA0000009,SRB0000011,
GT0000013,,SRB0000012,
GT0000014,SRA0000010,SRB0000013,SRC0000005
GT0000015,SRA0000011,SRB0000014,
GT0000016,SRA0000012,,
GT0000017,SRA0000013,,SRC0000006
GT0000018,SRA0000014,SRB0000015,SRC0000007
GT0000019,SRA0000015,SRB0000016,SRC0000008
GT0000020,SRA0000016,SRB0000017,
GT0000021,SRA0000017,SRB0000018,SRC0000009
GT0000022,SRA0000018,,SRC0000010
GT0000023,SRA0000019,SRB0000019,
GT0000024,SRA0000020,SRB0000020,SRC0000011
GT0000025,SRA0000021,SRB0000021,SRC0000012
GT0000026,SRA0000022,SRB0000022,SRC0000013
GT0000027,SRA0000023,SRB0000023,
GT0000028,SRA0000024,SRB0000024,
GT0000029,SRA0000025,SRB0000025,SRC0000014
GT0000030,SRA0000026,SRB0000026,
GT0000031,,SRB0000027,SRC0000015
GT0000032,SRA0000027,,SRC0000016
GT0000033,SRA0000028,SRB0000028,
GT0000034,,,SRC0000017
GT0000035,SRA0000029,SRB0000029,
GT0000036,SRA0000030,SRB0000030,SRC0000018
GT0000037,,,SRC0000019
GT0000038,SRA0000031,,
GT0000039,SRA0000032,SRB0000031,SRC0000020
GT0000040,SRA0000033,,
GT0000041,,SRB0000032,
GT0000042,SRA0000034,SRB0000033,SRC0000021
GT0000043,SRA0000035,SRB0000034,
GT0000044,SRA0000036,SRB0000035,
GT0000045,SRA0000037,SRB0000036,
GT0000046,SRA0000038,SRB0000037,SRC0000022
GT0000047,SRA0000039,SRB0000038,
GT0000048,SRA0000040,SRB0000039,
GT0000049,,SRB0000040,
GT0000050,SRA0000041,,
GT0000051,SRA0000042,SRB0000041,SRC0000023
GT0000052,SRA0000043,,SRC0000024
GT0000053,SRA0000044,SRB0000042,
GT0000054,,SRB0000043,SRC0000025
GT0000055,SRA0000045,SRB0000044,
GT0000056,SRA0000046,,SRC0000026
GT0000057,SRA0000047,SRB0000045,SRC0000027
GT0000058,,SRB0000046,SRC0000028
GT0000059,SRA0000048,SRB0000047,SRC0000029
GT0000060,SRA0000049,SRB0000048,SRC0000030
GT0000061,SRA0000050,SRB0000049,
GT0000062,SRA0000051,,
GT0000063,SRA0000052,SRB0000050,
GT0000064,SRA0000053,SRB0000051,SRC0000031
GT0000065,SRA0000054,SRB0000052,
GT0000066,SRA0000055,SRB0000053,
GT0000067,SRA0000056,SRB0000054,SRC0000032
GT0000068,SRA0000057,SRB0000055,SRC0000033
GT0000069,SRA0000058,SRB0000056,
GT0000070,,SRB0000057,
GT0000071,SRA0000059,SRB0000058,
GT0000072,SRA0000060,SRB0000059,
GT0000073,SRA0000061,SRB0000060,SRC0000034
GT0000074,SRA0000062,SRB0000061,
GT0000075,SRA0000063,SRB0000062,SRC0000035
GT0000076,,SRB0000063,SRC0000036
