vehicle_id,vehicle_name,fund_id,vehicle_type,domicile,legal_form,currency,nav_reporting_frequency,auditor,administrator,transfer_agent,inception_date
FUND-ABF-IX-MAIN,Apollo Buyout Fund IX — Master Fund,FUND-ABF-IX,Master Fund,Cayman Islands,Exempted Limited Partnership,USD,Quarterly,KPMG LLP,Citco Fund Services,State Street Global Services,2021-01-01
FUND-ABF-IX-DOM,Apollo Buyout Fund IX — Domestic Feeder,FUND-ABF-IX,Domestic Feeder,"Delaware, USA",Delaware Limited Partnership,USD,Quarterly,KPMG LLP,Citco Fund Services,State Street Global Services,2021-01-01
FUND-ABF-IX-OFF,Apollo Buyout Fund IX — Offshore Feeder,FUND-ABF-IX,Offshore Feeder,Cayman Islands,Exempted Limited Partnership,USD,Quarterly,PricewaterhouseCoopers,Citco Fund Services,State Street Global Services,2021-01-01
FUND-ABF-X-MAIN,Apollo Buyout Fund X — Master Fund,FUND-ABF-X,Master Fund,Cayman Islands,Exempted Limited Partnership,USD,Quarterly,KPMG LLP,Citco Fund Services,State Street Global Services,2023-01-01
FUND-ABF-X-DOM,Apollo Buyout Fund X — Domestic Feeder,FUND-ABF-X,Domestic Feeder,"Delaware, USA",Delaware Limited Partnership,USD,Quarterly,KPMG LLP,Citco Fund Services,State Street Global Services,2023-01-01
FUND-ABF-X-OFF,Apollo Buyout Fund X — Offshore Feeder,FUND-ABF-X,Offshore Feeder,Cayman Islands,Exempted Limited Partnership,USD,Quarterly,PricewaterhouseCoopers,Citco Fund Services,State Street Global Services,2023-01-01
FUND-ACO-IV-MAIN,Apollo Credit Opps IV — Master Fund,FUND-ACO-IV,Master Fund,Cayman Islands,Exempted Limited Partnership,USD,Quarterly,KPMG LLP,Citco Fund Services,State Street Global Services,2021-01-01
FUND-ACO-IV-DOM,Apollo Credit Opps IV — Domestic Feeder,FUND-ACO-IV,Domestic Feeder,"Delaware, USA",Delaware Limited Partnership,USD,Quarterly,KPMG LLP,Citco Fund Services,State Street Global Services,2021-01-01
FUND-ACO-IV-OFF,Apollo Credit Opps IV — Offshore Feeder,FUND-ACO-IV,Offshore Feeder,Cayman Islands,Exempted Limited Partnership,USD,Quarterly,PricewaterhouseCoopers,Citco Fund Services,State Street Global Services,2021-01-01
FUND-ACO-V-MAIN,Apollo Credit Opps V — Master Fund,FUND-ACO-V,Master Fund,Cayman Islands,Exempted Limited Partnership,USD,Quarterly,KPMG LLP,Citco Fund Services,State Street Global Services,2023-01-01
FUND-ACO-V-DOM,Apollo Credit Opps V — Domestic Feeder,FUND-ACO-V,Domestic Feeder,"Delaware, USA",Delaware Limited Partnership,USD,Quarterly,KPMG LLP,Citco Fund Services,State Street Global Services,2023-01-01
FUND-ACO-V-OFF,Apollo Credit Opps V — Offshore Feeder,FUND-ACO-V,Offshore Feeder,Cayman Islands,Exempted Limited Partnership,USD,Quarterly,PricewaterhouseCoopers,Citco Fund Services,State Street Global Services,2023-01-01
FUND-ARA-III-MAIN,Apollo Real Assets III — Master Fund,FUND-ARA-III,Master Fund,Cayman Islands,Exempted Limited Partnership,USD,Quarterly,KPMG LLP,Citco Fund Services,State Street Global Services,2020-01-01
FUND-ARA-III-DOM,Apollo Real Assets III — Domestic Feeder,FUND-ARA-III,Domestic Feeder,"Delaware, USA",Delaware Limited Partnership,USD,Quarterly,KPMG LLP,Citco Fund Services,State Street Global Services,2020-01-01
FUND-ARA-III-OFF,Apollo Real Assets III — Offshore Feeder,FUND-ARA-III,Offshore Feeder,Cayman Islands,Exempted Limited Partnership,USD,Quarterly,PricewaterhouseCoopers,Citco Fund Services,State Street Global Services,2020-01-01
FUND-ARA-IV-MAIN,Apollo Real Assets IV — Master Fund,FUND-ARA-IV,Master Fund,Cayman Islands,Exempted Limited Partnership,USD,Quarterly,KPMG LLP,Citco Fund Services,State Street Global Services,2022-01-01
FUND-ARA-IV-DOM,Apollo Real Assets IV — Domestic Feeder,FUND-ARA-IV,Domestic Feeder,"Delaware, USA",Delaware Limited Partnership,USD,Quarterly,KPMG LLP,Citco Fund Services,State Street Global Services,2022-01-01
FUND-ARA-IV-OFF,Apollo Real Assets IV — Offshore Feeder,FUND-ARA-IV,Offshore Feeder,Cayman Islands,Exempted Limited Partnership,USD,Quarterly,PricewaterhouseCoopers,Citco Fund Services,State Street Global Services,2022-01-01
