offering_id,offering_name,vehicle_id,fund_id,share_class,currency,minimum_commitment_usdm,management_fee_pct,carried_interest_pct,preferred_return_pct,subscription_document_type,status
FUND-ABF-IX-MAIN-A,Apollo Buyout Fund IX — Master Fund — Class A,FUND-ABF-IX-MAIN,FUND-ABF-IX,Class A,USD,25.0,1.5,20,8.0,LP Interest,Open
FUND-ABF-IX-MAIN-B,Apollo Buyout Fund IX — Master Fund — Class B,FUND-ABF-IX-MAIN,FUND-ABF-IX,Class B,USD,50.0,1.27,20,8.0,LP Interest,Open
FUND-ABF-IX-DOM-A,Apollo Buyout Fund IX — Domestic Feeder — Class A,FUND-ABF-IX-DOM,FUND-ABF-IX,Class A,USD,5.0,1.5,20,8.0,LP Interest,Open
FUND-ABF-IX-OFF-A,Apollo Buyout Fund IX — Offshore Feeder — Class A,FUND-ABF-IX-OFF,FUND-ABF-IX,Class A,USD,10.0,1.5,20,8.0,LP Interest,Open
FUND-ABF-X-MAIN-A,Apollo Buyout Fund X — Master Fund — Class A,FUND-ABF-X-MAIN,FUND-ABF-X,Class A,USD,25.0,1.5,20,8.0,LP Interest,Open
FUND-ABF-X-MAIN-B,Apollo Buyout Fund X — Master Fund — Class B,FUND-ABF-X-MAIN,FUND-ABF-X,Class B,USD,50.0,1.27,20,8.0,LP Interest,Open
FUND-ABF-X-DOM-A,Apollo Buyout Fund X — Domestic Feeder — Class A,FUND-ABF-X-DOM,FUND-ABF-X,Class A,USD,5.0,1.5,20,8.0,LP Interest,Open
FUND-ABF-X-OFF-A,Apollo Buyout Fund X — Offshore Feeder — Class A,FUND-ABF-X-OFF,FUND-ABF-X,Class A,USD,10.0,1.5,20,8.0,LP Interest,Open
FUND-ACO-IV-MAIN-A,Apollo Credit Opps IV — Master Fund — Class A,FUND-ACO-IV-MAIN,FUND-ACO-IV,Class A,USD,25.0,1.0,15,8.0,LP Interest,Open
FUND-ACO-IV-MAIN-B,Apollo Credit Opps IV — Master Fund — Class B,FUND-ACO-IV-MAIN,FUND-ACO-IV,Class B,USD,50.0,0.85,15,8.0,LP Interest,Open
FUND-ACO-IV-DOM-A,Apollo Credit Opps IV — Domestic Feeder — Class A,FUND-ACO-IV-DOM,FUND-ACO-IV,Class A,USD,5.0,1.0,15,8.0,LP Interest,Open
FUND-ACO-IV-OFF-A,Apollo Credit Opps IV — Offshore Feeder — Class A,FUND-ACO-IV-OFF,FUND-ACO-IV,Class A,USD,10.0,1.0,15,8.0,LP Interest,Open
FUND-ACO-V-MAIN-A,Apollo Credit Opps V — Master Fund — Class A,FUND-ACO-V-MAIN,FUND-ACO-V,Class A,USD,25.0,1.0,15,8.0,LP Interest,Open
FUND-ACO-V-MAIN-B,Apollo Credit Opps V — Master Fund — Class B,FUND-ACO-V-MAIN,FUND-ACO-V,Class B,USD,50.0,0.85,15,8.0,LP Interest,Open
FUND-ACO-V-DOM-A,Apollo Credit Opps V — Domestic Feeder — Class A,FUND-ACO-V-DOM,FUND-ACO-V,Class A,USD,5.0,1.0,15,8.0,LP Interest,Open
FUND-ACO-V-OFF-A,Apollo Credit Opps V — Offshore Feeder — Class A,FUND-ACO-V-OFF,FUND-ACO-V,Class A,USD,10.0,1.0,15,8.0,LP Interest,Open
FUND-ARA-III-MAIN-A,Apollo Real Assets III — Master Fund — Class A,FUND-ARA-III-MAIN,FUND-ARA-III,Class A,USD,25.0,1.25,20,8.0,LP Interest,Open
FUND-ARA-III-MAIN-B,Apollo Real Assets III — Master Fund — Class B,FUND-ARA-III-MAIN,FUND-ARA-III,Class B,USD,50.0,1.06,20,8.0,LP Interest,Open
FUND-ARA-III-DOM-A,Apollo Real Assets III — Domestic Feeder — Class A,FUND-ARA-III-DOM,FUND-ARA-III,Class A,USD,5.0,1.25,20,8.0,LP Interest,Open
FUND-ARA-III-OFF-A,Apollo Real Assets III — Offshore Feeder — Class A,FUND-ARA-III-OFF,FUND-ARA-III,Class A,USD,10.0,1.25,20,8.0,LP Interest,Open
FUND-ARA-IV-MAIN-A,Apollo Real Assets IV — Master Fund — Class A,FUND-ARA-IV-MAIN,FUND-ARA-IV,Class A,USD,25.0,1.25,20,8.0,LP Interest,Open
FUND-ARA-IV-MAIN-B,Apollo Real Assets IV — Master Fund — Class B,FUND-ARA-IV-MAIN,FUND-ARA-IV,Class B,USD,50.0,1.06,20,8.0,LP Interest,Open
FUND-ARA-IV-DOM-A,Apollo Real Assets IV — Domestic Feeder — Class A,FUND-ARA-IV-DOM,FUND-ARA-IV,Class A,USD,5.0,1.25,20,8.0,LP Interest,Open
FUND-ARA-IV-OFF-A,Apollo Real Assets IV — Offshore Feeder — Class A,FUND-ARA-IV-OFF,FUND-ARA-IV,Class A,USD,10.0,1.25,20,8.0,LP Interest,Open
FUND-AIP-II-MAIN-A,Apollo Infra Partners II — Master Fund — Class A,FUND-AIP-II-MAIN,FUND-AIP-II,Class A,USD,25.0,1.0,15,8.0,LP Interest,Open
FUND-AIP-II-MAIN-B,Apollo Infra Partners II — Master Fund — Class B,FUND-AIP-II-MAIN,FUND-AIP-II,Class B,USD,50.0,0.85,15,8.0,LP Interest,Open
FUND-AIP-II-DOM-A,Apollo Infra Partners II — Domestic Feeder — Class A,FUND-AIP-II-DOM,FUND-AIP-II,Class A,USD,5.0,1.0,15,8.0,LP Interest,Open
FUND-AIP-II-OFF-A,Apollo Infra Partners II — Offshore Feeder — Class A,FUND-AIP-II-OFF,FUND-AIP-II,Class A,USD,10.0,1.0,15,8.0,LP Interest,Open
FUND-AIP-III-MAIN-A,Apollo Infra Partners III — Master Fund — Class A,FUND-AIP-III-MAIN,FUND-AIP-III,Class A,USD,25.0,1.0,15,8.0,LP Interest,Open
FUND-AIP-III-MAIN-B,Apollo Infra Partners III — Master Fund — Class B,FUND-AIP-III-MAIN,FUND-AIP-III,Class B,USD,50.0,0.85,15,8.0,LP Interest,Open
FUND-AIP-III-DOM-A,Apollo Infra Partners III — Domestic Feeder — Class A,FUND-AIP-III-DOM,FUND-AIP-III,Class A,USD,5.0,1.0,15,8.0,LP Interest,Open
FUND-AIP-III-OFF-A,Apollo Infra Partners III — Offshore Feeder — Class A,FUND-AIP-III-OFF,FUND-AIP-III,Class A,USD,10.0,1.0,15,8.0,LP Interest,Open
FUND-AGE-II-MAIN-A,Apollo Growth Equity II — Master Fund — Class A,FUND-AGE-II-MAIN,FUND-AGE-II,Class A,USD,25.0,2.0,20,8.0,LP Interest,Open
FUND-AGE-II-MAIN-B,Apollo Growth Equity II — Master Fund — Class B,FUND-AGE-II-MAIN,FUND-AGE-II,Class B,USD,50.0,1.7,20,8.0,LP Interest,Open
FUND-AGE-II-DOM-A,Apollo Growth Equity II — Domestic Feeder — Class A,FUND-AGE-II-DOM,FUND-AGE-II,Class A,USD,5.0,2.0,20,8.0,LP Interest,Open
FUND-AGE-II-OFF-A,Apollo Growth Equity II — Offshore Feeder — Class A,FUND-AGE-II-OFF,FUND-AGE-II,Class A,USD,10.0,2.0,20,8.0,LP Interest,Open
FUND-AGE-III-MAIN-A,Apollo Growth Equity III — Master Fund — Class A,FUND-AGE-III-MAIN,FUND-AGE-III,Class A,USD,25.0,2.0,20,8.0,LP Interest,Open
FUND-AGE-III-MAIN-B,Apollo Growth Equity III — Master Fund — Class B,FUND-AGE-III-MAIN,FUND-AGE-III,Class B,USD,50.0,1.7,20,8.0,LP Interest,Open
FUND-AGE-III-DOM-A,Apollo Growth Equity III — Domestic Feeder — Class A,FUND-AGE-III-DOM,FUND-AGE-III,Class A,USD,5.0,2.0,20,8.0,LP Interest,Open
FUND-AGE-III-OFF-A,Apollo Growth Equity III — Offshore Feeder — Class A,FUND-AGE-III-OFF,FUND-AGE-III,Class A,USD,10.0,2.0,20,8.0,LP Interest,Open
