opportunity_id,investor_id,investor_name,target_product_id,target_fund_id,target_fund_name,target_offering_id,target_close_id,indicative_amount_usd,opportunity_status,conversion_route,raised_date,raised_by,lost_reason,notes
OPP-0001,INV-0001,Los Angeles Teachers' Pension Fund,PROD-005,FUND-AGE-II,Apollo Growth Equity II,FUND-AGE-II-DOM-A,FUND-AGE-II-FC2,118683713.0,Won,RouteA,2022-07-27,J. Williams,,
OPP-0002,INV-0002,Princeton College Investment Office,PROD-002,FUND-ACO-IV,Apollo Credit Opps IV,FUND-ACO-IV-DOM-A,FUND-ACO-IV-FC2,60858096.0,DocsOut,RouteA,2021-12-25,T. Osei,,
OPP-0003,INV-0003,Gates Family Office,PROD-004,FUND-AIP-II,Apollo Infra Partners II,FUND-AIP-II-OFF-A,FUND-AIP-II-FC1,54943873.0,DocsOut,RouteA,2021-04-03,M. Patel,,
OPP-0004,INV-0004,California State Teachers' Retirement System,PROD-005,FUND-AGE-III,Apollo Growth Equity III,FUND-AGE-III-DOM-A,FUND-AGE-III-FC1,204121349.0,DocsOut,RouteA,2024-12-02,R. Chen,,
OPP-0005,INV-0004,California State Teachers' Retirement System,PROD-002,FUND-ACO-V,Apollo Credit Opps V,FUND-ACO-V-DOM-A,FUND-ACO-V-FC1,496774303.0,Prospect,RouteA,2023-03-17,R. Chen,,
OPP-0006,INV-0005,Johnson Investments Ltd,PROD-005,FUND-AGE-III,Apollo Growth Equity III,FUND-AGE-III-OFF-A,FUND-AGE-III-FC2,337903291.0,Withdrawn,RouteA,2024-10-25,S. Park,Competitor,
OPP-0007,INV-0006,Penn College Investment Office,PROD-002,FUND-ACO-IV,Apollo Credit Opps IV,FUND-ACO-IV-DOM-A,FUND-ACO-IV-FC1,35174030.0,Won,RouteA,2021-05-09,R. Chen,,
OPP-0008,INV-0007,Canada National Wealth Fund,PROD-002,FUND-ACO-IV,Apollo Credit Opps IV,FUND-ACO-IV-OFF-A,FUND-ACO-IV-FC2,486283666.0,Won,RouteA,2021-08-02,S. Park,,
OPP-0009,INV-0008,Temasek National Wealth Fund,PROD-004,FUND-AIP-II,Apollo Infra Partners II,FUND-AIP-II-OFF-A,FUND-AIP-II-FC2,153444805.0,Won,RouteA,2021-07-05,M. Patel,,
OPP-0010,INV-0009,NYU University Endowment,PROD-005,FUND-AGE-II,Apollo Growth Equity II,FUND-AGE-II-DOM-A,FUND-AGE-II-FC2,429482913.0,DocsOut,RouteA,2022-04-10,M. Patel,,
OPP-0011,INV-0009,NYU University Endowment,PROD-002,FUND-ACO-IV,Apollo Credit Opps IV,FUND-ACO-IV-DOM-A,FUND-ACO-IV-FC2,484054163.0,Prospect,RouteA,2021-09-14,M. Patel,,
OPP-0012,INV-0010,AIG Employee Benefit Fund,PROD-002,FUND-ACO-IV,Apollo Credit Opps IV,FUND-ACO-IV-DOM-A,FUND-ACO-IV-FC2,168480182.0,DocsOut,RouteA,2021-05-07,A. Mensah,,
OPP-0013,INV-0011,New Zealand National Wealth Fund,PROD-004,FUND-AIP-III,Apollo Infra Partners III,FUND-AIP-III-OFF-A,FUND-AIP-III-FC2,415556111.0,SoftCircle,RouteA,2023-09-24,J. Williams,,
OPP-0014,INV-0011,New Zealand National Wealth Fund,PROD-001,FUND-ABF-IX,Apollo Buyout Fund IX,FUND-ABF-IX-OFF-A,FUND-ABF-IX-FC2,303446412.0,Won,RouteA,2021-11-20,J. Williams,,
OPP-0015,INV-0012,Princeton University Endowment,PROD-002,FUND-ACO-V,Apollo Credit Opps V,FUND-ACO-V-DOM-A,FUND-ACO-V-FC1,453981250.0,Won,RouteA,2023-04-28,T. Osei,,
OPP-0016,INV-0013,Wisconsin Public Employees' Retirement System,PROD-001,FUND-ABF-IX,Apollo Buyout Fund IX,FUND-ABF-IX-DOM-A,FUND-ABF-IX-FC1,374705218.0,DocsOut,RouteA,2021-12-04,M. Patel,,
OPP-0017,INV-0014,Atlanta Teachers' Pension Fund,PROD-002,FUND-ACO-V,Apollo Credit Opps V,FUND-ACO-V-DOM-A,FUND-ACO-V-FC1,164199429.0,Won,RouteA,2023-04-18,M. Patel,,
OPP-0018,INV-0015,Stanford University Endowment,PROD-004,FUND-AIP-III,Apollo Infra Partners III,FUND-AIP-III-DOM-A,FUND-AIP-III-FC2,258844187.0,Signed,RouteA,2023-05-12,S. Park,,
OPP-0019,INV-0016,Virginia State Teachers' Retirement System,PROD-001,FUND-ABF-X,Apollo Buyout Fund X,FUND-ABF-X-DOM-A,FUND-ABF-X-FC2,159896399.0,Won,RouteA,2023-04-12,S. Park,,
OPP-0020,INV-0017,Prudential Multi-Strategy Fund,PROD-002,FUND-ACO-V,Apollo Credit Opps V,FUND-ACO-V-OFF-A,FUND-ACO-V-FC1,467705334.0,Prospect,RouteA,2023-05-18,J. Williams,,
OPP-0021,INV-0017,Prudential Multi-Strategy Fund,PROD-005,FUND-AGE-III,Apollo Growth Equity III,FUND-AGE-III-OFF-A,FUND-AGE-III-FC2,168283317.0,Signed,RouteA,2024-03-07,J. Williams,,
OPP-0022,INV-0018,Blackstone Family Office,PROD-002,FUND-ACO-V,Apollo Credit Opps V,FUND-ACO-V-DOM-A,FUND-ACO-V-FC2,172094321.0,Won,RouteA,2023-11-22,S. Park,,
OPP-0023,INV-0019,Duke College Investment Office,PROD-004,FUND-AIP-III,Apollo Infra Partners III,FUND-AIP-III-DOM-A,FUND-AIP-III-FC2,398512880.0,Won,RouteA,2023-03-24,A. Mensah,,
OPP-0024,INV-0020,Johnson Charitable Foundation (20),PROD-005,FUND-AGE-II,Apollo Growth Equity II,FUND-AGE-II-DOM-A,FUND-AGE-II-FC2,478832262.0,Indicated,RouteA,2022-09-21,R. Chen,,
OPP-0025,INV-0020,Johnson Charitable Foundation (20),PROD-005,FUND-AGE-II,Apollo Growth Equity II,FUND-AGE-II-DOM-A,FUND-AGE-II-FC1,383347728.0,SoftCircle,RouteA,2022-11-02,R. Chen,,
OPP-0026,INV-0021,Government Pension Fund — Singapore,PROD-002,FUND-ACO-V,Apollo Credit Opps V,FUND-ACO-V-OFF-A,FUND-ACO-V-FC1,255337795.0,Indicated,RouteA,2023-01-07,M. Patel,,
OPP-0027,INV-0022,Aetna Life Insurance Company,PROD-005,FUND-AGE-III,Apollo Growth Equity III,FUND-AGE-III-OFF-A,FUND-AGE-III-FC2,8273117.0,Declined,RouteA,2024-08-01,S. Park,,
OPP-0028,INV-0023,Minnesota State Teachers' Retirement System,PROD-005,FUND-AGE-II,Apollo Growth Equity II,FUND-AGE-II-DOM-A,FUND-AGE-II-FC2,253596936.0,Won,RouteA,2022-05-01,J. Williams,,
OPP-0029,INV-0023,Minnesota State Teachers' Retirement System,PROD-004,FUND-AIP-II,Apollo Infra Partners II,FUND-AIP-II-DOM-A,FUND-AIP-II-FC1,78704255.0,SoftCircle,RouteA,2021-02-17,J. Williams,,
OPP-0030,INV-0024,Koch Investments Ltd,PROD-005,FUND-AGE-II,Apollo Growth Equity II,FUND-AGE-II-OFF-A,FUND-AGE-II-FC2,201463729.0,Won,RouteA,2022-05-26,R. Chen,,
OPP-0031,INV-0024,Koch Investments Ltd,PROD-003,FUND-ARA-IV,Apollo Real Assets IV,FUND-ARA-IV-OFF-A,FUND-ARA-IV-FC2,495165351.0,Won,RouteA,2022-10-08,R. Chen,,
OPP-0032,INV-0025,Abu Dhabi Investment Authority,PROD-001,FUND-ABF-X,Apollo Buyout Fund X,FUND-ABF-X-OFF-A,FUND-ABF-X-FC1,191698936.0,SoftCircle,RouteA,2023-07-13,S. Park,,
OPP-0033,INV-0026,Mars Charitable Foundation,PROD-001,FUND-ABF-IX,Apollo Buyout Fund IX,FUND-ABF-IX-DOM-A,FUND-ABF-IX-FC1,219785278.0,SoftCircle,RouteA,2021-08-28,J. Williams,,
OPP-0034,INV-0027,BlackRock Alternative Investment Fund,PROD-005,FUND-AGE-III,Apollo Growth Equity III,FUND-AGE-III-DOM-A,FUND-AGE-III-FC1,109651443.0,Won,RouteA,2024-01-08,T. Osei,,
OPP-0035,INV-0028,Temasek National Wealth Fund,PROD-005,FUND-AGE-III,Apollo Growth Equity III,FUND-AGE-III-OFF-A,FUND-AGE-III-FC2,343792228.0,Signed,RouteA,2024-01-03,A. Mensah,,
OPP-0036,INV-0029,Blackstone Investments Ltd,PROD-005,FUND-AGE-II,Apollo Growth Equity II,FUND-AGE-II-OFF-A,FUND-AGE-II-FC1,480927249.0,Indicated,RouteA,2022-06-01,M. Patel,,
OPP-0037,INV-0030,Washington State Teachers' Retirement System,PROD-004,FUND-AIP-II,Apollo Infra Partners II,FUND-AIP-II-DOM-A,FUND-AIP-II-FC1,124033736.0,Signed,RouteA,2021-03-19,A. Mensah,,
OPP-0038,INV-0031,Saudi Arabia Investment Authority,PROD-004,FUND-AIP-II,Apollo Infra Partners II,FUND-AIP-II-OFF-A,FUND-AIP-II-FC2,396296552.0,Won,RouteA,2021-12-05,M. Patel,,
OPP-0039,INV-0032,Fidelity Assurance plc,PROD-001,FUND-ABF-X,Apollo Buyout Fund X,FUND-ABF-X-OFF-A,FUND-ABF-X-FC2,119911282.0,Prospect,RouteA,2023-02-14,R. Chen,,
OPP-0040,INV-0033,AIG Investments,PROD-005,FUND-AGE-III,Apollo Growth Equity III,FUND-AGE-III-DOM-A,FUND-AGE-III-FC2,140296879.0,Won,RouteA,2024-01-21,S. Park,,
OPP-0041,INV-0033,AIG Investments,PROD-004,FUND-AIP-III,Apollo Infra Partners III,FUND-AIP-III-DOM-A,FUND-AIP-III-FC2,470865708.0,DocsOut,RouteA,2023-06-18,S. Park,,
OPP-0042,INV-0034,Lincoln Multi-Strategy Fund,PROD-005,FUND-AGE-III,Apollo Growth Equity III,FUND-AGE-III-DOM-A,FUND-AGE-III-FC2,400037311.0,SoftCircle,RouteA,2024-10-10,T. Osei,,
OPP-0043,INV-0035,South Korea Investment Authority,PROD-001,FUND-ABF-X,Apollo Buyout Fund X,FUND-ABF-X-OFF-A,FUND-ABF-X-FC2,393025690.0,Indicated,RouteA,2023-07-23,S. Park,,
OPP-0044,INV-0036,Blackstone Investments Ltd,PROD-004,FUND-AIP-II,Apollo Infra Partners II,FUND-AIP-II-OFF-A,FUND-AIP-II-FC2,7571635.0,Won,RouteA,2021-02-03,R. Chen,,
OPP-0045,INV-0036,Blackstone Investments Ltd,PROD-003,FUND-ARA-III,Apollo Real Assets III,FUND-ARA-III-OFF-A,FUND-ARA-III-FC2,70590967.0,Won,RouteA,2020-05-04,R. Chen,,
